# m n lo up gens time_s logN
# m n lo up gens time_s logN
314 237 1 1 1 0.089000000000000000000000000000000000000 -1.0497559885573973317260880647198937843
314 247 2 2 2 0.032000000000000000000000000000000000000 -1.3109151039696661154677160093054856385
317 222 0 0 0 0.087000000000000000000000000000000000000 -0.67571530474729374516857033690495184242
317 266 2 2 2 0.024000000000000000000000000000000000000 -1.8382363380017804511586310044513209116
318 17 1 1 1 0.017000000000000000000000000000000000000 8.9517179760127432912266545714299878021
318 109 0 0 0 0.015000000000000000000000000000000000000 1.2783084010212184259135687880857262444
318 133 2 2 2 0.021000000000000000000000000000000000000 -1.9545609052769696097283335165967599991
318 199 1 1 0 0.33700000000000000000000000000000000000 -0.28311955715059088812583359312273401219
318 241 0 0 0 0.078000000000000000000000000000000000000 -1.0735152306252965231174086319303951376
319 52 1 1 1 0.019000000000000000000000000000000000000 4.9012685550027232525679660746213140810
319 72 1 1 1 0.022000000000000000000000000000000000000 3.5631029349083559324552017629866791267
319 74 1 1 1 0.026000000000000000000000000000000000000 3.4413061946878227886430214028149656872
319 84 1 1 1 0.026000000000000000000000000000000000000 2.8470349654858062130910408328335404786
319 118 2 2 2 0.038000000000000000000000000000000000000 0.58772328002126396246637996922163431773
319 158 1 1 1 0.038000000000000000000000000000000000000 -0.022758523952898768681993551110879902212
319 178 0 0 0 0.076000000000000000000000000000000000000 -0.050845265205388827354383627665025753339
319 186 0 0 0 0.020000000000000000000000000000000000000 -0.12006619449705571961058085967576485096
319 262 1 1 0 0.32800000000000000000000000000000000000 -1.6429446603797653334425300999009575960
320 133 0 0 0 0.014000000000000000000000000000000000000 -2.8408931530850897757902138158634266353
321 20 1 1 1 0.030000000000000000000000000000000000000 8.4124667088402617687192030587769518425
322 13 1 1 0 0.30500000000000000000000000000000000000 9.9358123124042056027617092492167881113
322 67 2 2 1 0.41900000000000000000000000000000000000 3.9141707212117520439576232092977494207
322 151 1 1 0 0.30300000000000000000000000000000000000 -0.13827433353680404213900227685411233053
322 167 0 0 0 0.016000000000000000000000000000000000000 -3.8302781614772260479376437375731260759 E-5
322 179 1 1 1 0.024000000000000000000000000000000000000 -0.046159104767635104050603500177391250867
322 193 1 1 0 0.35300000000000000000000000000000000000 -0.17630149381545175418676569976246754129
322 239 1 1 1 0.036000000000000000000000000000000000000 -0.95622020376862808069078269203915880108
323 62 1 1 1 0.022000000000000000000000000000000000000 4.2496609350410237776228116594796538261
