# m  n  q  status  box_size  n_hits
67 48 2185/6432 CLOSED_RANK2 8 0
68 9 4543/1224 CLOSED_RANK2 8 0
68 33 3535/4488 CLOSED_RANK2 8 0
68 39 3103/5304 CLOSED_RANK2 8 0
69 10 4661/1380 CLOSED_RANK2 8 0
69 14 4565/1932 CLOSED_RANK2 8 0
69 26 4085/3588 CLOSED_RANK2 8 0
70 19 4539/2660 CLOSED_RANK2 8 0
70 29 4059/4060 CLOSED_RANK2 8 0
70 33 3811/4620 CLOSED_RANK2 8 0
70 37 3531/5180 CLOSED_RANK2 8 0
70 43 3051/6020 CLOSED_RANK2 8 0
70 69 139/9660 CLOSED_RANK2 8 0
71 44 3105/6248 CLOSED_RANK2 8 0
71 54 2125/7668 CLOSED_RANK2 8 0
72 25 4559/3600 CLOSED_RANK2 8 0
72 37 3815/5328 CLOSED_RANK2 8 0
72 61 1463/8784 CLOSED_RANK2 8 0
73 14 5133/2044 CLOSED_RANK2 8 0
73 20 4929/2920 CLOSED_RANK2 8 0
73 38 3885/5548 CLOSED_RANK2 8 0
73 62 1485/9052 CLOSED_RANK2 8 0
74 13 5307/1924 CLOSED_RANK2 8 0
74 27 4747/3996 CLOSED_RANK2 8 0
74 55 2451/8140 CLOSED_RANK2 8 0
75 8 5561/1200 CLOSED_RANK2 8 0
75 26 4949/3900 CLOSED_RANK2 8 0
75 44 3689/6600 CLOSED_RANK2 8 0
75 46 3509/6900 CLOSED_RANK2 8 0
75 68 1001/10200 CLOSED_RANK2 8 0
75 74 149/11100 CLOSED_RANK2 8 0
76 21 5335/3192 CLOSED_RANK2 8 0
76 33 4687/5016 CLOSED_RANK2 8 0
77 2 5925/308 CLOSED_RANK2 8 0
77 4 5913/616 CLOSED_RANK2 8 0
77 16 5673/2464 CLOSED_RANK2 8 0
77 68 1305/10472 CLOSED_RANK2 8 0
77 72 745/11088 CLOSED_RANK2 8 0
78 11 5963/1716 CLOSED_RANK2 8 0
78 17 5795/2652 CLOSED_RANK2 8 0
78 47 3875/7332 CLOSED_RANK2 8 0
78 67 1595/10452 CLOSED_RANK2 8 0
78 73 755/11388 CLOSED_RANK2 8 0
79 18 5917/2844 CLOSED_RANK2 8 0
80 21 5959/3360 CLOSED_RANK2 8 0
80 27 5671/4320 CLOSED_RANK2 8 0
80 51 3799/8160 CLOSED_RANK2 8 0
80 57 3151/9120 CLOSED_RANK2 8 0
80 67 1911/10720 CLOSED_RANK2 8 0
80 73 1071/11680 CLOSED_RANK2 8 0
81 34 5405/5508 CLOSED_RANK2 8 0
81 46 4445/7452 CLOSED_RANK2 8 0
