# m  n  q  status  scan_window  n_hits
75 62 1781/9300 CLOSED_RANK1 12 0
75 64 1529/9600 CLOSED_RANK1 12 0
76 1 5775/152 CLOSED_RANK1 12 0
76 3 5767/456 CLOSED_RANK1 12 0
76 5 5751/760 CLOSED_RANK1 12 0
76 7 5727/1064 HARD_NO_GEN_R1_HIGHCOND 0 0
76 13 5607/1976 HARD_NO_GEN_R1_HIGHCOND 0 0
76 15 5551/2280 CLOSED_RANK1 12 0
76 23 5247/3496 CLOSED_RANK1 12 0
76 27 5047/4104 CLOSED_RANK1 12 0
76 29 4935/4408 HARD_NO_GEN_R1_HIGHCOND 0 0
76 35 4551/5320 HARD_NO_GEN_R1_HIGHCOND 0 0
76 37 4407/5624 CLOSED_RANK1 12 0
76 39 4255/5928 CLOSED_RANK1 12 0
76 43 3927/6536 CLOSED_RANK1 12 0
76 51 3175/7752 CLOSED_RANK1 12 0
76 55 2751/8360 CLOSED_RANK1 12 0
76 59 2295/8968 CLOSED_RANK1 12 0
76 63 1807/9576 CLOSED_RANK1 12 0
76 65 1551/9880 CLOSED_RANK1 12 0
76 69 1015/10488 CLOSED_RANK1 12 0
76 71 735/10792 CLOSED_RANK1 12 0
77 6 5893/924 CLOSED_RANK1 12 0
77 10 5829/1540 HARD_NO_GEN_R1_HIGHCOND 0 0
77 18 5605/2772 CLOSED_RANK1 12 0
77 20 5529/3080 CLOSED_RANK1 12 0
77 24 5353/3696 CLOSED_RANK1 12 0
77 30 5029/4620 CLOSED_RANK1 12 0
77 38 4485/5852 CLOSED_RANK1 12 0
77 46 3813/7084 CLOSED_RANK1 12 0
77 54 3013/8316 CLOSED_RANK1 12 0
77 62 2085/9548 CLOSED_RANK1 12 0
77 64 1833/9856 CLOSED_RANK1 12 0
77 74 453/11396 CLOSED_RANK1 12 0
77 76 153/11704 CLOSED_RANK1 12 0
78 1 6083/156 CLOSED_RANK1 12 0
78 5 6059/780 HARD_NO_GEN_R1_HIGHCOND 0 0
78 7 6035/1092 HARD_NO_GEN_R1_HIGHCOND 0 0
78 19 5723/2964 CLOSED_RANK1 12 0
78 23 5555/3588 CLOSED_RANK1 12 0
78 35 4859/5460 CLOSED_RANK1 12 0
78 37 4715/5772 CLOSED_RANK1 12 0
78 43 4235/6708 CLOSED_RANK1 12 0
78 49 3683/7644 CLOSED_RANK1 12 0
78 53 3275/8268 CLOSED_RANK1 12 0
78 59 2603/9204 CLOSED_RANK1 12 0
78 61 2363/9516 CLOSED_RANK1 12 0
78 77 155/12012 CLOSED_RANK1 12 0
79 8 6177/1264 CLOSED_RANK1 12 0
79 10 6141/1580 HARD_NO_GEN_R1_HIGHCOND 0 0
79 12 6097/1896 HARD_NO_GEN_R1_HIGHCOND 0 0
79 16 5985/2528 CLOSED_RANK1 12 0
79 22 5757/3476 CLOSED_RANK1 12 0
79 24 5665/3792 CLOSED_RANK1 12 0
79 26 5565/4108 CLOSED_RANK1 12 0
79 30 5341/4740 HARD_NO_GEN_R1_HIGHCOND 0 0
79 32 5217/5056 CLOSED_RANK1 12 0
79 36 4945/5688 CLOSED_RANK1 12 0
79 38 4797/6004 CLOSED_RANK1 12 0
79 40 4641/6320 CLOSED_RANK1 12 0
79 44 4305/6952 HARD_NO_GEN_R1_HIGHCOND 0 0
79 48 3937/7584 CLOSED_RANK1 12 0
79 52 3537/8216 CLOSED_RANK1 12 0
79 54 3325/8532 CLOSED_RANK1 12 0
79 58 2877/9164 HARD_NO_GEN_R1_HIGHCOND 0 0
79 60 2641/9480 HARD_NO_GEN_R1_HIGHCOND 0 0
79 64 2145/10112 CLOSED_RANK1 12 0
79 66 1885/10428 CLOSED_RANK1 12 0
79 68 1617/10744 CLOSED_RANK1 12 0
79 70 1341/11060 HARD_NO_GEN_R1_HIGHCOND 0 0
79 74 765/11692 CLOSED_RANK1 12 0
79 78 157/12324 HARD_NO_GEN_R1_HIGHCOND 0 0
80 1 6399/160 CLOSED_RANK1 12 0
80 17 6111/2720 CLOSED_RANK1 12 0
80 29 5559/4640 CLOSED_RANK1 12 0
80 31 5439/4960 CLOSED_RANK1 12 0
80 33 5311/5280 CLOSED_RANK1 12 0
80 39 4879/6240 CLOSED_RANK1 12 0
80 41 4719/6560 CLOSED_RANK1 12 0
80 43 4551/6880 CLOSED_RANK1 12 0
80 49 3999/7840 CLOSED_RANK1 12 0
80 59 2919/9440 CLOSED_RANK1 12 0
80 63 2431/10080 CLOSED_RANK1 12 0
80 69 1639/11040 CLOSED_RANK1 12 0
80 77 471/12320 CLOSED_RANK1 12 0
81 4 6545/648 CLOSED_RANK1 12 0
81 10 6461/1620 CLOSED_RANK1 12 0
81 16 6305/2592 CLOSED_RANK1 12 0
81 20 6161/3240 CLOSED_RANK1 12 0
81 22 6077/3564 CLOSED_RANK1 12 0
81 28 5777/4536 HARD_NO_GEN_R1_HIGHCOND 0 0
81 38 5117/6156 CLOSED_RANK1 12 0
81 44 4625/7128 CLOSED_RANK1 12 0
81 50 4061/8100 HARD_NO_GEN_R1_HIGHCOND 0 0
81 56 3425/9072 CLOSED_RANK1 12 0
81 62 2717/10044 CLOSED_RANK1 12 0
81 64 2465/10368 CLOSED_RANK1 12 0
81 70 1661/11340 CLOSED_RANK1 12 0
81 80 161/12960 HARD_NO_GEN_R1_HIGHCOND 0 0
82 9 6643/1476 CLOSED_RANK1 12 0
82 11 6603/1804 CLOSED_RANK1 12 0
82 13 6555/2132 CLOSED_RANK1 12 0
82 17 6435/2788 CLOSED_RANK1 12 0
82 19 6363/3116 HARD_NO_GEN_R1_HIGHCOND 0 0
82 23 6195/3772 HARD_NO_GEN_R1_HIGHCOND 0 0
82 27 5995/4428 CLOSED_RANK1 12 0
82 31 5763/5084 HARD_NO_GEN_R1_HIGHCOND 0 0
82 33 5635/5412 CLOSED_RANK1 12 0
82 37 5355/6068 CLOSED_RANK1 12 0
82 45 4699/7380 CLOSED_RANK1 12 0
82 49 4323/8036 CLOSED_RANK1 12 0
82 53 3915/8692 CLOSED_RANK1 12 0
82 63 2755/10332 CLOSED_RANK1 12 0
82 77 795/12628 CLOSED_RANK1 12 0
82 81 163/13284 HARD_NO_GEN_R1_HIGHCOND 0 0
83 4 6873/664 HARD_NO_GEN_R1_HIGHCOND 0 0
83 6 6853/996 CLOSED_RANK1 12 0
83 8 6825/1328 CLOSED_RANK1 12 0
83 10 6789/1660 CLOSED_RANK1 12 0
83 12 6745/1992 CLOSED_RANK1 12 0
83 18 6565/2988 CLOSED_RANK1 12 0
83 26 6213/4316 CLOSED_RANK1 12 0
83 28 6105/4648 CLOSED_RANK1 12 0
83 30 5989/4980 CLOSED_RANK1 12 0
83 34 5733/5644 CLOSED_RANK1 12 0
83 36 5593/5976 CLOSED_RANK1 12 0
83 38 5445/6308 CLOSED_RANK1 12 0
83 42 5125/6972 CLOSED_RANK1 12 0
83 48 4585/7968 CLOSED_RANK1 12 0
83 52 4185/8632 CLOSED_RANK1 12 0
83 54 3973/8964 CLOSED_RANK1 12 0
83 58 3525/9628 CLOSED_RANK1 12 0
83 66 2533/10956 HARD_NO_GEN_R1_HIGHCOND 0 0
83 68 2265/11288 HARD_NO_GEN_R1_HIGHCOND 0 0
83 70 1989/11620 CLOSED_RANK1 12 0
83 72 1705/11952 CLOSED_RANK1 12 0
83 74 1413/12284 HARD_NO_GEN_R1_HIGHCOND 0 0
83 78 805/12948 CLOSED_RANK1 12 0
83 80 489/13280 CLOSED_RANK1 12 0
84 1 7055/168 CLOSED_RANK1 12 0
84 5 7031/840 CLOSED_RANK1 12 0
84 17 6767/2856 CLOSED_RANK1 12 0
84 23 6527/3864 CLOSED_RANK1 12 0
84 29 6215/4872 CLOSED_RANK1 12 0
84 31 6095/5208 CLOSED_RANK1 12 0
84 41 5375/6888 CLOSED_RANK1 12 0
84 43 5207/7224 HARD_NO_GEN_R1_HIGHCOND 0 0
84 59 3575/9912 CLOSED_RANK1 12 0
84 61 3335/10248 CLOSED_RANK1 12 0
84 65 2831/10920 CLOSED_RANK1 12 0
84 67 2567/11256 CLOSED_RANK1 12 0
84 71 2015/11928 CLOSED_RANK1 12 0
84 83 167/13944 CLOSED_RANK1 12 0
85 2 7221/340 CLOSED_RANK1 12 0
85 4 7209/680 CLOSED_RANK1 12 0
85 12 7081/2040 CLOSED_RANK1 12 0
85 14 7029/2380 CLOSED_RANK1 12 0
85 28 6441/4760 CLOSED_RANK1 12 0
85 38 5781/6460 CLOSED_RANK1 12 0
85 42 5461/7140 CLOSED_RANK1 12 0
85 46 5109/7820 HARD_NO_GEN_R1_HIGHCOND 0 0
85 48 4921/8160 CLOSED_RANK1 12 0
85 52 4521/8840 CLOSED_RANK1 12 0
85 54 4309/9180 CLOSED_RANK1 12 0
85 58 3861/9860 CLOSED_RANK1 12 0
85 64 3129/10880 CLOSED_RANK1 12 0
85 76 1449/12920 CLOSED_RANK1 12 0
85 82 501/13940 CLOSED_RANK1 12 0
85 84 169/14280 CLOSED_RANK1 12 0
86 1 7395/172 CLOSED_RANK1 12 0
86 5 7371/860 CLOSED_RANK1 12 0
86 7 7347/1204 CLOSED_RANK1 12 0
86 19 7035/3268 CLOSED_RANK1 12 0
86 21 6955/3612 CLOSED_RANK1 12 0
86 25 6771/4300 HARD_NO_GEN_R1_HIGHCOND 0 0
86 29 6555/4988 CLOSED_RANK1 12 0
86 37 6027/6364 CLOSED_RANK1 12 0
86 39 5875/6708 CLOSED_RANK1 12 0
86 41 5715/7052 CLOSED_RANK1 12 0
86 45 5371/7740 CLOSED_RANK1 12 0
86 51 4795/8772 HARD_NO_GEN_R1_HIGHCOND 0 0
86 53 4587/9116 HARD_NO_GEN_R1_HIGHCOND 0 0
86 55 4371/9460 CLOSED_RANK1 12 0
86 57 4147/9804 CLOSED_RANK1 12 0
86 59 3915/10148 CLOSED_RANK1 12 0
86 61 3675/10492 CLOSED_RANK1 12 0
86 63 3427/10836 CLOSED_RANK1 12 0
86 65 3171/11180 CLOSED_RANK1 12 0
86 69 2635/11868 CLOSED_RANK1 12 0
86 73 2067/12556 CLOSED_RANK1 12 0
86 79 1155/13588 CLOSED_RANK1 12 0
86 81 835/13932 HARD_NO_GEN_R1_HIGHCOND 0 0
87 8 7505/1392 CLOSED_RANK1 12 0
87 14 7373/2436 CLOSED_RANK1 12 0
87 26 6893/4524 CLOSED_RANK1 12 0
87 34 6413/5916 CLOSED_RANK1 12 0
87 40 5969/6960 CLOSED_RANK1 12 0
87 50 5069/8700 CLOSED_RANK1 12 0
87 62 3725/10788 CLOSED_RANK1 12 0
87 64 3473/11136 CLOSED_RANK1 12 0
87 70 2669/12180 HARD_NO_GEN_R1_HIGHCOND 0 0
87 74 2093/12876 CLOSED_RANK1 12 0
87 86 173/14964 HARD_NO_GEN_R1_HIGHCOND 0 0
88 9 7663/1584 CLOSED_RANK1 12 0
88 13 7575/2288 CLOSED_RANK1 12 0
88 15 7519/2640 CLOSED_RANK1 12 0
88 17 7455/2992 CLOSED_RANK1 12 0
88 23 7215/4048 CLOSED_RANK1 12 0
88 25 7119/4400 CLOSED_RANK1 12 0
88 27 7015/4752 CLOSED_RANK1 12 0
88 39 6223/6864 CLOSED_RANK1 12 0
88 43 5895/7568 CLOSED_RANK1 12 0
88 45 5719/7920 CLOSED_RANK1 12 0
88 49 5343/8624 CLOSED_RANK1 12 0
88 51 5143/8976 HARD_NO_GEN_R1_HIGHCOND 0 0
88 53 4935/9328 CLOSED_RANK1 12 0
88 59 4263/10384 CLOSED_RANK1 12 0
88 69 2983/12144 CLOSED_RANK1 12 0
88 71 2703/12496 HARD_NO_GEN_R1_HIGHCOND 0 0
88 73 2415/12848 CLOSED_RANK1 12 0
88 75 2119/13200 CLOSED_RANK1 12 0
88 79 1503/13904 CLOSED_RANK1 12 0
88 83 855/14608 CLOSED_RANK1 12 0
88 87 175/15312 CLOSED_RANK1 12 0
89 10 7821/1780 CLOSED_RANK1 12 0
89 14 7725/2492 HARD_NO_GEN_R1_HIGHCOND 0 0
89 16 7665/2848 CLOSED_RANK1 12 0
89 18 7597/3204 HARD_NO_GEN_R1_HIGHCOND 0 0
89 20 7521/3560 HARD_NO_GEN_R1_HIGHCOND 0 0
89 22 7437/3916 CLOSED_RANK1 12 0
89 28 7137/4984 CLOSED_RANK1 12 0
89 34 6765/6052 CLOSED_RANK1 12 0
89 36 6625/6408 CLOSED_RANK1 12 0
89 40 6321/7120 CLOSED_RANK1 12 0
89 42 6157/7476 CLOSED_RANK1 12 0
89 48 5617/8544 CLOSED_RANK1 12 0
89 50 5421/8900 CLOSED_RANK1 12 0
89 58 4557/10324 CLOSED_RANK1 12 0
89 60 4321/10680 CLOSED_RANK1 12 0
89 64 3825/11392 CLOSED_RANK1 12 0
89 70 3021/12460 CLOSED_RANK1 12 0
89 78 1837/13884 CLOSED_RANK1 12 0
90 1 8099/180 CLOSED_RANK1 12 0
90 13 7931/2340 CLOSED_RANK1 12 0
90 17 7811/3060 CLOSED_RANK1 12 0
90 19 7739/3420 CLOSED_RANK1 12 0
90 23 7571/4140 CLOSED_RANK1 12 0
90 29 7259/5220 CLOSED_RANK1 12 0
90 37 6731/6660 CLOSED_RANK1 12 0
90 43 6251/7740 CLOSED_RANK1 12 0
90 47 5891/8460 HARD_NO_GEN_R1_HIGHCOND 0 0
90 49 5699/8820 CLOSED_RANK1 12 0
90 53 5291/9540 CLOSED_RANK1 12 0
90 61 4379/10980 CLOSED_RANK1 12 0
90 67 3611/12060 HARD_NO_GEN_R1_HIGHCOND 0 0
90 71 3059/12780 CLOSED_RANK1 12 0
90 79 1859/14220 CLOSED_RANK1 12 0
90 89 179/16020 CLOSED_RANK1 12 0
91 2 8277/364 CLOSED_RANK1 12 0
91 10 8181/1820 CLOSED_RANK1 12 0
91 12 8137/2184 CLOSED_RANK1 12 0
91 16 8025/2912 CLOSED_RANK1 12 0
91 20 7881/3640 CLOSED_RANK1 12 0
91 24 7705/4368 CLOSED_RANK1 12 0
91 34 7125/6188 CLOSED_RANK1 12 0
91 38 6837/6916 HARD_NO_GEN_R1_HIGHCOND 0 0
91 48 5977/8736 CLOSED_RANK1 12 0
91 50 5781/9100 CLOSED_RANK1 12 0
91 68 3657/12376 HARD_NO_GEN_R1_HIGHCOND 0 0
91 72 3097/13104 CLOSED_RANK1 12 0
91 74 2805/13468 CLOSED_RANK1 12 0
91 80 1881/14560 CLOSED_RANK1 12 0
91 82 1557/14924 HARD_NO_GEN_R1_HIGHCOND 0 0
91 86 885/15652 CLOSED_RANK1 12 0
91 88 537/16016 CLOSED_RANK1 12 0
92 7 8415/1288 CLOSED_RANK1 12 0
92 15 8239/2760 CLOSED_RANK1 12 0
92 19 8103/3496 HARD_NO_GEN_R1_HIGHCOND 0 0
92 21 8023/3864 HARD_NO_GEN_R1_HIGHCOND 0 0
92 25 7839/4600 CLOSED_RANK1 12 0
92 29 7623/5336 CLOSED_RANK1 12 0
92 31 7503/5704 CLOSED_RANK1 12 0
92 33 7375/6072 CLOSED_RANK1 12 0
92 35 7239/6440 CLOSED_RANK1 12 0
92 37 7095/6808 CLOSED_RANK1 12 0
92 39 6943/7176 HARD_NO_GEN_R1_HIGHCOND 0 0
92 41 6783/7544 CLOSED_RANK1 12 0
92 43 6615/7912 CLOSED_RANK1 12 0
92 47 6255/8648 HARD_NO_GEN_R1_HIGHCOND 0 0
92 49 6063/9016 CLOSED_RANK1 12 0
92 51 5863/9384 CLOSED_RANK1 12 0
92 61 4743/11224 HARD_NO_GEN_R1_HIGHCOND 0 0
92 71 3423/13064 CLOSED_RANK1 12 0
92 77 2535/14168 CLOSED_RANK1 12 0
92 79 2223/14536 CLOSED_RANK1 12 0
92 81 1903/14904 HARD_NO_GEN_R1_HIGHCOND 0 0
92 83 1575/15272 HARD_NO_GEN_R1_HIGHCOND 0 0
92 85 1239/15640 CLOSED_RANK1 12 0
92 89 543/16376 CLOSED_RANK1 12 0
93 4 8633/744 CLOSED_RANK1 12 0
93 8 8585/1488 CLOSED_RANK1 12 0
93 10 8549/1860 CLOSED_RANK1 12 0
93 16 8393/2976 CLOSED_RANK1 12 0
93 22 8165/4092 CLOSED_RANK1 12 0
93 28 7865/5208 CLOSED_RANK1 12 0
93 32 7625/5952 CLOSED_RANK1 12 0
93 46 6533/8556 CLOSED_RANK1 12 0
93 52 5945/9672 CLOSED_RANK1 12 0
93 56 5513/10416 HARD_NO_GEN_R1_HIGHCOND 0 0
93 68 4025/12648 HARD_NO_GEN_R1_HIGHCOND 0 0
93 74 3173/13764 CLOSED_RANK1 12 0
93 82 1925/15252 CLOSED_RANK1 12 0
93 86 1253/15996 CLOSED_RANK1 12 0
93 88 905/16368 CLOSED_RANK1 12 0
94 1 8835/188 HARD_NO_GEN_R1_HIGHCOND 0 0
94 5 8811/940 CLOSED_RANK1 12 0
94 7 8787/1316 CLOSED_RANK1 12 0
94 11 8715/2068 CLOSED_RANK1 12 0
94 17 8547/3196 HARD_NO_GEN_R1_HIGHCOND 0 0
94 19 8475/3572 HARD_NO_GEN_R1_HIGHCOND 0 0
94 21 8395/3948 HARD_NO_GEN_R1_HIGHCOND 0 0
94 25 8211/4700 HARD_NO_GEN_R1_HIGHCOND 0 0
94 29 7995/5452 CLOSED_RANK1 12 0
94 33 7747/6204 CLOSED_RANK1 12 0
94 37 7467/6956 HARD_NO_GEN_R1_HIGHCOND 0 0
94 41 7155/7708 CLOSED_RANK1 12 0
94 51 6235/9588 HARD_NO_GEN_R1_HIGHCOND 0 0
94 65 4611/12220 CLOSED_RANK1 12 0
94 69 4075/12972 CLOSED_RANK1 12 0
94 71 3795/13348 CLOSED_RANK1 12 0
94 85 1611/15980 CLOSED_RANK1 12 0
94 91 555/17108 HARD_NO_GEN_R1_HIGHCOND 0 0
95 4 9009/760 CLOSED_RANK1 12 0
95 8 8961/1520 CLOSED_RANK1 12 0
95 12 8881/2280 CLOSED_RANK1 12 0
95 14 8829/2660 CLOSED_RANK1 12 0
95 18 8701/3420 CLOSED_RANK1 12 0
95 22 8541/4180 CLOSED_RANK1 12 0
95 26 8349/4940 CLOSED_RANK1 12 0
95 36 7729/6840 CLOSED_RANK1 12 0
95 44 7089/8360 CLOSED_RANK1 12 0
95 48 6721/9120 CLOSED_RANK1 12 0
95 56 5889/10640 CLOSED_RANK1 12 0
95 62 5181/11780 CLOSED_RANK1 12 0
95 68 4401/12920 HARD_NO_GEN_R1_HIGHCOND 0 0
95 72 3841/13680 CLOSED_RANK1 12 0
95 74 3549/14060 CLOSED_RANK1 12 0
95 78 2941/14820 HARD_NO_GEN_R1_HIGHCOND 0 0
96 5 9191/960 CLOSED_RANK1 12 0
96 7 9167/1344 CLOSED_RANK1 12 0
96 19 8855/3648 CLOSED_RANK1 12 0
96 23 8687/4416 CLOSED_RANK1 12 0
96 31 8255/5952 CLOSED_RANK1 12 0
96 35 7991/6720 CLOSED_RANK1 12 0
96 37 7847/7104 CLOSED_RANK1 12 0
96 43 7367/8256 CLOSED_RANK1 12 0
96 53 6407/10176 CLOSED_RANK1 12 0
96 59 5735/11328 CLOSED_RANK1 12 0
96 65 4991/12480 CLOSED_RANK1 12 0
96 71 4175/13632 CLOSED_RANK1 12 0
96 77 3287/14784 CLOSED_RANK1 12 0
96 79 2975/15168 CLOSED_RANK1 12 0
96 83 2327/15936 CLOSED_RANK1 12 0
97 4 9393/776 HARD_NO_GEN_R1_HIGHCOND 0 0
97 6 9373/1164 CLOSED_RANK1 12 0
97 10 9309/1940 HARD_NO_GEN_R1_HIGHCOND 0 0
97 20 9009/3880 CLOSED_RANK1 12 0
97 26 8733/5044 CLOSED_RANK1 12 0
97 34 8253/6596 CLOSED_RANK1 12 0
97 42 7645/8148 CLOSED_RANK1 12 0
97 44 7473/8536 CLOSED_RANK1 12 0
97 46 7293/8924 CLOSED_RANK1 12 0
97 58 6045/11252 CLOSED_RANK1 12 0
97 66 5053/12804 CLOSED_RANK1 12 0
97 72 4225/13968 CLOSED_RANK1 12 0
97 76 3633/14744 CLOSED_RANK1 12 0
97 80 3009/15520 CLOSED_RANK1 12 0
97 86 2013/16684 CLOSED_RANK1 12 0
98 1 9603/196 CLOSED_RANK1 12 0
98 3 9595/588 HARD_NO_GEN_R1_HIGHCOND 0 0
98 9 9523/1764 HARD_NO_GEN_R1_HIGHCOND 0 0
98 13 9435/2548 CLOSED_RANK1 12 0
98 17 9315/3332 CLOSED_RANK1 12 0
98 23 9075/4508 CLOSED_RANK1 12 0
98 37 8235/7252 CLOSED_RANK1 12 0
98 41 7923/8036 CLOSED_RANK1 12 0
98 45 7579/8820 CLOSED_RANK1 12 0
98 47 7395/9212 CLOSED_RANK1 12 0
98 51 7003/9996 CLOSED_RANK1 12 0
98 53 6795/10388 CLOSED_RANK1 12 0
98 57 6355/11172 CLOSED_RANK1 12 0
98 61 5883/11956 CLOSED_RANK1 12 0
98 65 5379/12740 CLOSED_RANK1 12 0
98 67 5115/13132 CLOSED_RANK1 12 0
98 69 4843/13524 CLOSED_RANK1 12 0
98 81 3043/15876 CLOSED_RANK1 12 0
98 85 2379/16660 CLOSED_RANK1 12 0
99 2 9797/396 HARD_NO_GEN_R1_HIGHCOND 0 0
99 10 9701/1980 CLOSED_RANK1 12 0
99 14 9605/2772 HARD_NO_GEN_R1_HIGHCOND 0 0
99 20 9401/3960 CLOSED_RANK1 12 0
99 46 7685/9108 CLOSED_RANK1 12 0
99 50 7301/9900 CLOSED_RANK1 12 0
99 52 7097/10296 CLOSED_RANK1 12 0
99 58 6437/11484 CLOSED_RANK1 12 0
99 62 5957/12276 CLOSED_RANK1 12 0
99 68 5177/13464 CLOSED_RANK1 12 0
99 74 4325/14652 CLOSED_RANK1 12 0
99 82 3077/16236 CLOSED_RANK1 12 0
99 86 2405/17028 CLOSED_RANK1 12 0
99 98 197/19404 CLOSED_RANK1 12 0
100 1 9999/200 CLOSED_RANK1 12 0
100 11 9879/2200 CLOSED_RANK1 12 0
100 13 9831/2600 CLOSED_RANK1 12 0
100 27 9271/5400 CLOSED_RANK1 12 0
100 37 8631/7400 CLOSED_RANK1 12 0
100 39 8479/7800 CLOSED_RANK1 12 0
100 53 7191/10600 HARD_NO_GEN_R1_HIGHCOND 0 0
100 57 6751/11400 CLOSED_RANK1 12 0
100 59 6519/11800 HARD_NO_GEN_R1_HIGHCOND 0 0
100 61 6279/12200 CLOSED_RANK1 12 0
100 63 6031/12600 CLOSED_RANK1 12 0
100 67 5511/13400 HARD_NO_GEN_R1_HIGHCOND 0 0
100 71 4959/14200 HARD_NO_GEN_R1_HIGHCOND 0 0
100 77 4071/15400 CLOSED_RANK1 12 0
100 81 3439/16200 CLOSED_RANK1 12 0
100 83 3111/16600 CLOSED_RANK1 12 0
100 99 199/19800 HARD_NO_GEN_R1_HIGHCOND 0 0
