# m  n  q  status  scan_window  n_hits
38 29 603/2204 CLOSED_RANK1 12 0
38 35 219/2660 HARD_NO_GEN_R1_HIGHCOND 0 0
39 10 1421/780 CLOSED_RANK1 12 0
39 20 1121/1560 CLOSED_RANK1 12 0
39 28 737/2184 CLOSED_RANK1 12 0
39 38 77/2964 CLOSED_RANK1 12 0
40 1 1599/80 CLOSED_RANK1 12 0
40 3 1591/240 CLOSED_RANK1 12 0
40 7 1551/560 CLOSED_RANK1 12 0
40 9 1519/720 CLOSED_RANK1 12 0
40 17 1311/1360 CLOSED_RANK1 12 0
40 19 1239/1520 CLOSED_RANK1 12 0
40 21 1159/1680 CLOSED_RANK1 12 0
40 23 1071/1840 CLOSED_RANK1 12 0
41 2 1677/164 CLOSED_RANK1 12 0
41 4 1665/328 CLOSED_RANK1 12 0
41 8 1617/656 CLOSED_RANK1 12 0
41 10 1581/820 CLOSED_RANK1 12 0
41 12 1537/984 CLOSED_RANK1 12 0
41 20 1281/1640 CLOSED_RANK1 12 0
41 22 1197/1804 CLOSED_RANK1 12 0
41 24 1105/1968 CLOSED_RANK1 12 0
41 26 1005/2132 CLOSED_RANK1 12 0
41 28 897/2296 CLOSED_RANK1 12 0
41 30 781/2460 CLOSED_RANK1 12 0
41 38 237/3116 CLOSED_RANK1 12 0
41 40 81/3280 CLOSED_RANK1 12 0
42 5 1739/420 CLOSED_RANK1 12 0
42 11 1643/924 CLOSED_RANK1 12 0
42 13 1595/1092 CLOSED_RANK1 12 0
42 19 1403/1596 CLOSED_RANK1 12 0
42 23 1235/1932 CLOSED_RANK1 12 0
42 25 1139/2100 CLOSED_RANK1 12 0
42 31 803/2604 CLOSED_RANK1 12 0
43 4 1833/344 CLOSED_RANK1 12 0
43 8 1785/688 CLOSED_RANK1 12 0
43 10 1749/860 CLOSED_RANK1 12 0
43 12 1705/1032 CLOSED_RANK1 12 0
43 18 1525/1548 CLOSED_RANK1 12 0
43 22 1365/1892 CLOSED_RANK1 12 0
43 24 1273/2064 CLOSED_RANK1 12 0
43 38 405/3268 CLOSED_RANK1 12 0
43 40 249/3440 CLOSED_RANK1 12 0
43 42 85/3612 CLOSED_RANK1 12 0
44 1 1935/88 CLOSED_RANK1 12 0
44 3 1927/264 CLOSED_RANK1 12 0
44 5 1911/440 CLOSED_RANK1 12 0
44 13 1767/1144 CLOSED_RANK1 12 0
44 15 1711/1320 CLOSED_RANK1 12 0
44 17 1647/1496 CLOSED_RANK1 12 0
44 19 1575/1672 CLOSED_RANK1 12 0
44 21 1495/1848 CLOSED_RANK1 12 0
44 23 1407/2024 CLOSED_RANK1 12 0
44 25 1311/2200 CLOSED_RANK1 12 0
44 37 567/3256 CLOSED_RANK1 12 0
44 39 415/3432 CLOSED_RANK1 12 0
44 41 255/3608 CLOSED_RANK1 12 0
44 43 87/3784 CLOSED_RANK1 12 0
45 2 2021/180 CLOSED_RANK1 12 0
45 16 1769/1440 CLOSED_RANK1 12 0
45 26 1349/2340 CLOSED_RANK1 12 0
45 44 89/3960 CLOSED_RANK1 12 0
46 3 2107/276 CLOSED_RANK1 12 0
46 5 2091/460 CLOSED_RANK1 12 0
46 13 1947/1196 CLOSED_RANK1 12 0
46 15 1891/1380 CLOSED_RANK1 12 0
46 19 1755/1748 CLOSED_RANK1 12 0
46 21 1675/1932 CLOSED_RANK1 12 0
46 37 747/3404 CLOSED_RANK1 12 0
46 41 435/3772 CLOSED_RANK1 12 0
46 43 267/3956 CLOSED_RANK1 12 0
46 45 91/4140 CLOSED_RANK1 12 0
47 2 2205/188 CLOSED_RANK1 12 0
47 6 2173/564 CLOSED_RANK1 12 0
47 10 2109/940 CLOSED_RANK1 12 0
47 14 2013/1316 CLOSED_RANK1 12 0
47 20 1809/1880 CLOSED_RANK1 12 0
47 22 1725/2068 CLOSED_RANK1 12 0
47 28 1425/2632 CLOSED_RANK1 12 0
47 34 1053/3196 CLOSED_RANK1 12 0
47 42 445/3948 CLOSED_RANK1 12 0
47 46 93/4324 CLOSED_RANK1 12 0
48 1 2303/96 CLOSED_RANK1 12 0
48 7 2255/672 CLOSED_RANK1 12 0
48 11 2183/1056 CLOSED_RANK1 12 0
48 19 1943/1824 CLOSED_RANK1 12 0
48 29 1463/2784 CLOSED_RANK1 12 0
48 31 1343/2976 CLOSED_RANK1 12 0
48 35 1079/3360 CLOSED_RANK1 12 0
48 37 935/3552 CLOSED_RANK1 12 0
48 47 95/4512 CLOSED_RANK1 12 0
49 10 2301/980 CLOSED_RANK1 12 0
49 12 2257/1176 CLOSED_RANK1 12 0
49 26 1725/2548 CLOSED_RANK1 12 0
49 30 1501/2940 CLOSED_RANK1 12 0
49 36 1105/3528 CLOSED_RANK1 12 0
49 40 801/3920 CLOSED_RANK1 12 0
49 44 465/4312 CLOSED_RANK1 12 0
49 48 97/4704 CLOSED_RANK1 12 0
50 9 2419/900 CLOSED_RANK1 12 0
50 17 2211/1700 CLOSED_RANK1 12 0
50 19 2139/1900 CLOSED_RANK1 12 0
50 21 2059/2100 CLOSED_RANK1 12 0
50 23 1971/2300 CLOSED_RANK1 12 0
50 29 1659/2900 CLOSED_RANK1 12 0
50 31 1539/3100 CLOSED_RANK1 12 0
51 2 2597/204 CLOSED_RANK1 12 0
51 4 2585/408 CLOSED_RANK1 12 0
51 8 2537/816 CLOSED_RANK1 12 0
51 10 2501/1020 CLOSED_RANK1 12 0
51 14 2405/1428 CLOSED_RANK1 12 0
51 16 2345/1632 CLOSED_RANK1 12 0
51 22 2117/2244 CLOSED_RANK1 12 0
51 26 1925/2652 CLOSED_RANK1 12 0
51 32 1577/3264 CLOSED_RANK1 12 0
51 40 1001/4080 CLOSED_RANK1 12 0
51 44 665/4488 CLOSED_RANK1 12 0
51 46 485/4692 CLOSED_RANK1 12 0
51 50 101/5100 CLOSED_RANK1 12 0
52 5 2679/520 CLOSED_RANK1 12 0
52 7 2655/728 CLOSED_RANK1 12 0
52 9 2623/936 CLOSED_RANK1 12 0
52 11 2583/1144 CLOSED_RANK1 12 0
52 17 2415/1768 CLOSED_RANK1 12 0
52 21 2263/2184 CLOSED_RANK1 12 0
52 23 2175/2392 CLOSED_RANK1 12 0
52 27 1975/2808 CLOSED_RANK1 12 0
52 29 1863/3016 CLOSED_RANK1 12 0
52 35 1479/3640 CLOSED_RANK1 12 0
52 43 855/4472 CLOSED_RANK1 12 0
52 45 679/4680 CLOSED_RANK1 12 0
52 49 303/5096 HARD_NO_GEN_R1_HIGHCOND 0 0
53 2 2805/212 CLOSED_RANK1 12 0
53 4 2793/424 CLOSED_RANK1 12 0
53 8 2745/848 CLOSED_RANK1 12 0
53 10 2709/1060 CLOSED_RANK1 12 0
53 12 2665/1272 CLOSED_RANK1 12 0
53 14 2613/1484 CLOSED_RANK1 12 0
53 16 2553/1696 CLOSED_RANK1 12 0
53 18 2485/1908 CLOSED_RANK1 12 0
53 22 2325/2332 CLOSED_RANK1 12 0
53 24 2233/2544 CLOSED_RANK1 12 0
53 26 2133/2756 HARD_NO_GEN_R1_HIGHCOND 0 0
53 30 1909/3180 CLOSED_RANK1 12 0
53 36 1513/3816 CLOSED_RANK1 12 0
53 40 1209/4240 CLOSED_RANK1 12 0
53 42 1045/4452 CLOSED_RANK1 12 0
53 48 505/5088 CLOSED_RANK1 12 0
53 50 309/5300 CLOSED_RANK1 12 0
53 52 105/5512 CLOSED_RANK1 12 0
54 7 2867/756 CLOSED_RANK1 12 0
54 11 2795/1188 CLOSED_RANK1 12 0
54 13 2747/1404 CLOSED_RANK1 12 0
54 19 2555/2052 CLOSED_RANK1 12 0
54 23 2387/2484 CLOSED_RANK1 12 0
54 35 1691/3780 CLOSED_RANK1 12 0
54 37 1547/3996 CLOSED_RANK1 12 0
54 41 1235/4428 CLOSED_RANK1 12 0
54 47 707/5076 HARD_NO_GEN_R1_HIGHCOND 0 0
54 49 515/5292 HARD_NO_GEN_R1_HIGHCOND 0 0
54 53 107/5724 CLOSED_RANK1 12 0
55 2 3021/220 CLOSED_RANK1 12 0
55 24 2449/2640 CLOSED_RANK1 12 0
55 28 2241/3080 CLOSED_RANK1 12 0
55 34 1869/3740 CLOSED_RANK1 12 0
55 46 909/5060 CLOSED_RANK1 12 0
55 52 321/5720 CLOSED_RANK1 12 0
56 5 3111/560 CLOSED_RANK1 12 0
56 9 3055/1008 CLOSED_RANK1 12 0
56 13 2967/1456 CLOSED_RANK1 12 0
56 15 2911/1680 CLOSED_RANK1 12 0
56 19 2775/2128 CLOSED_RANK1 12 0
56 27 2407/3024 CLOSED_RANK1 12 0
56 29 2295/3248 CLOSED_RANK1 12 0
56 33 2047/3696 CLOSED_RANK1 12 0
56 37 1767/4144 CLOSED_RANK1 12 0
56 43 1287/4816 CLOSED_RANK1 12 0
56 51 535/5712 CLOSED_RANK1 12 0
56 55 111/6160 CLOSED_RANK1 12 0
57 14 3053/1596 CLOSED_RANK1 12 0
57 16 2993/1824 CLOSED_RANK1 12 0
57 20 2849/2280 CLOSED_RANK1 12 0
57 22 2765/2508 CLOSED_RANK1 12 0
57 28 2465/3192 CLOSED_RANK1 12 0
57 34 2093/3876 CLOSED_RANK1 12 0
