# m  n  q  status  tors_order  n_hits
91 46 6165/8372 CLOSED_RANK0 8 0
91 54 5365/9828 CLOSED_RANK0 8 0
91 58 4917/10556 CLOSED_RANK0 8 0
91 60 4681/10920 CLOSED_RANK0 8 0
91 62 4437/11284 CLOSED_RANK0 8 0
91 64 4185/11648 CLOSED_RANK0 8 0
91 76 2505/13832 CLOSED_RANK0 8 0
91 90 181/16380 CLOSED_RANK0 8 0
92 3 8455/552 CLOSED_RANK0 8 0
92 5 8439/920 CLOSED_RANK0 8 0
92 9 8383/1656 CLOSED_RANK0 8 0
92 11 8343/2024 CLOSED_RANK0 8 0
92 27 7735/4968 CLOSED_RANK0 8 0
92 55 5439/10120 CLOSED_RANK0 8 0
92 57 5215/10488 CLOSED_RANK0 8 0
92 59 4983/10856 CLOSED_RANK0 8 0
92 63 4495/11592 CLOSED_RANK0 8 0
92 65 4239/11960 CLOSED_RANK0 8 0
92 67 3975/12328 CLOSED_RANK0 8 0
92 75 2839/13800 CLOSED_RANK0 8 0
92 91 183/16744 CLOSED_RANK0 8 0
93 2 8645/372 CLOSED_RANK0 8 0
93 14 8453/2604 CLOSED_RANK0 8 0
93 20 8249/3720 CLOSED_RANK0 8 0
93 50 6149/9300 CLOSED_RANK0 8 0
93 58 5285/10788 CLOSED_RANK0 8 0
93 70 3749/13020 CLOSED_RANK0 8 0
93 76 2873/14136 CLOSED_RANK0 8 0
94 3 8827/564 CLOSED_RANK0 8 0
94 9 8755/1692 CLOSED_RANK0 8 0
94 13 8667/2444 CLOSED_RANK0 8 0
94 15 8611/2820 CLOSED_RANK0 8 0
94 23 8307/4324 CLOSED_RANK0 8 0
94 27 8107/5076 CLOSED_RANK0 8 0
94 43 6987/8084 CLOSED_RANK0 8 0
94 45 6811/8460 CLOSED_RANK0 8 0
94 61 5115/11468 CLOSED_RANK0 8 0
94 63 4867/11844 CLOSED_RANK0 8 0
94 67 4347/12596 CLOSED_RANK0 8 0
94 73 3507/13724 CLOSED_RANK0 8 0
94 75 3211/14100 CLOSED_RANK0 8 0
94 79 2595/14852 CLOSED_RANK0 8 0
94 81 2275/15228 CLOSED_RANK0 8 0
94 83 1947/15604 CLOSED_RANK0 8 0
94 87 1267/16356 CLOSED_RANK0 8 0
95 2 9021/380 CLOSED_RANK0 8 0
95 6 8989/1140 CLOSED_RANK0 8 0
95 16 8769/3040 CLOSED_RANK0 8 0
95 24 8449/4560 CLOSED_RANK0 8 0
95 28 8241/5320 CLOSED_RANK0 8 0
95 32 8001/6080 CLOSED_RANK0 8 0
95 46 6909/8740 CLOSED_RANK0 8 0
95 52 6321/9880 CLOSED_RANK0 8 0
95 54 6109/10260 CLOSED_RANK0 8 0
95 58 5661/11020 CLOSED_RANK0 8 0
95 64 4929/12160 CLOSED_RANK0 8 0
95 66 4669/12540 CLOSED_RANK0 8 0
95 84 1969/15960 CLOSED_RANK0 8 0
95 88 1281/16720 CLOSED_RANK0 8 0
95 92 561/17480 CLOSED_RANK0 8 0
95 94 189/17860 CLOSED_RANK0 8 0
96 1 9215/192 CLOSED_RANK0 8 0
96 13 9047/2496 CLOSED_RANK0 8 0
96 17 8927/3264 CLOSED_RANK0 8 0
96 29 8375/5568 CLOSED_RANK0 8 0
96 41 7535/7872 CLOSED_RANK0 8 0
96 55 6191/10560 CLOSED_RANK0 8 0
96 61 5495/11712 CLOSED_RANK0 8 0
96 67 4727/12864 CLOSED_RANK0 8 0
96 85 1991/16320 CLOSED_RANK0 8 0
96 95 191/18240 CLOSED_RANK0 8 0
97 2 9405/388 CLOSED_RANK0 8 0
97 12 9265/2328 CLOSED_RANK0 8 0
97 14 9213/2716 CLOSED_RANK0 8 0
97 16 9153/3104 CLOSED_RANK0 8 0
97 18 9085/3492 CLOSED_RANK0 8 0
97 22 8925/4268 CLOSED_RANK0 8 0
97 32 8385/6208 CLOSED_RANK0 8 0
97 36 8113/6984 CLOSED_RANK0 8 0
97 48 7105/9312 CLOSED_RANK0 8 0
97 50 6909/9700 CLOSED_RANK0 8 0
97 52 6705/10088 CLOSED_RANK0 8 0
97 56 6273/10864 CLOSED_RANK0 8 0
97 62 5565/12028 CLOSED_RANK0 8 0
97 74 3933/14356 CLOSED_RANK0 8 0
97 78 3325/15132 CLOSED_RANK0 8 0
97 84 2353/16296 CLOSED_RANK0 8 0
97 94 573/18236 CLOSED_RANK0 8 0
98 5 9579/980 CLOSED_RANK0 8 0
98 11 9483/2156 CLOSED_RANK0 8 0
98 19 9243/3724 CLOSED_RANK0 8 0
98 25 8979/4900 CLOSED_RANK0 8 0
98 27 8875/5292 CLOSED_RANK0 8 0
98 29 8763/5684 CLOSED_RANK0 8 0
98 31 8643/6076 CLOSED_RANK0 8 0
98 39 8083/7644 CLOSED_RANK0 8 0
98 55 6579/10780 CLOSED_RANK0 8 0
98 59 6123/11564 CLOSED_RANK0 8 0
98 71 4563/13916 CLOSED_RANK0 8 0
98 75 3979/14700 CLOSED_RANK0 8 0
98 79 3363/15484 CLOSED_RANK0 8 0
98 83 2715/16268 CLOSED_RANK0 8 0
98 87 2035/17052 CLOSED_RANK0 8 0
98 89 1683/17444 CLOSED_RANK0 8 0
98 93 955/18228 CLOSED_RANK0 8 0
98 95 579/18620 CLOSED_RANK0 8 0
99 4 9785/792 CLOSED_RANK0 8 0
99 8 9737/1584 CLOSED_RANK0 8 0
99 26 9125/5148 CLOSED_RANK0 8 0
99 34 8645/6732 CLOSED_RANK0 8 0
99 38 8357/7524 CLOSED_RANK0 8 0
99 40 8201/7920 CLOSED_RANK0 8 0
99 76 4025/15048 CLOSED_RANK0 8 0
99 80 3401/15840 CLOSED_RANK0 8 0
100 3 9991/600 CLOSED_RANK0 8 0
100 7 9951/1400 CLOSED_RANK0 8 0
100 9 9919/1800 CLOSED_RANK0 8 0
100 17 9711/3400 CLOSED_RANK0 8 0
100 19 9639/3800 CLOSED_RANK0 8 0
100 29 9159/5800 CLOSED_RANK0 8 0
100 31 9039/6200 CLOSED_RANK0 8 0
100 33 8911/6600 CLOSED_RANK0 8 0
100 41 8319/8200 CLOSED_RANK0 8 0
100 43 8151/8600 CLOSED_RANK0 8 0
100 47 7791/9400 CLOSED_RANK0 8 0
100 69 5239/13800 CLOSED_RANK0 8 0
100 73 4671/14600 CLOSED_RANK0 8 0
100 79 3759/15800 CLOSED_RANK0 8 0
100 87 2431/17400 CLOSED_RANK0 8 0
100 97 591/19400 CLOSED_RANK0 8 0
