# m  n  q  status  tors_order  n_hits
42 17 1475/1428 CLOSED_RANK0 8 0
42 37 395/3108 CLOSED_RANK0 8 0
43 2 1845/172 CLOSED_RANK0 8 0
43 6 1813/516 CLOSED_RANK0 8 0
43 16 1593/1376 CLOSED_RANK0 8 0
43 20 1449/1720 CLOSED_RANK0 8 0
43 28 1065/2408 CLOSED_RANK0 8 0
43 30 949/2580 CLOSED_RANK0 8 0
43 32 825/2752 CLOSED_RANK0 8 0
43 34 693/2924 CLOSED_RANK0 8 0
44 7 1887/616 CLOSED_RANK0 8 0
44 31 975/2728 CLOSED_RANK0 8 0
45 4 2009/360 CLOSED_RANK0 8 0
45 8 1961/720 CLOSED_RANK0 8 0
45 14 1829/1260 CLOSED_RANK0 8 0
45 22 1541/1980 CLOSED_RANK0 8 0
45 28 1241/2520 CLOSED_RANK0 8 0
45 32 1001/2880 CLOSED_RANK0 8 0
45 34 869/3060 CLOSED_RANK0 8 0
45 38 581/3420 CLOSED_RANK0 8 0
46 1 2115/92 CLOSED_RANK0 8 0
46 7 2067/644 CLOSED_RANK0 8 0
46 17 1827/1564 CLOSED_RANK0 8 0
46 25 1491/2300 CLOSED_RANK0 8 0
46 29 1275/2668 CLOSED_RANK0 8 0
46 31 1155/2852 CLOSED_RANK0 8 0
46 33 1027/3036 CLOSED_RANK0 8 0
46 35 891/3220 CLOSED_RANK0 8 0
46 39 595/3588 CLOSED_RANK0 8 0
47 16 1953/1504 CLOSED_RANK0 8 0
47 24 1633/2256 CLOSED_RANK0 8 0
47 26 1533/2444 CLOSED_RANK0 8 0
47 30 1309/2820 CLOSED_RANK0 8 0
47 32 1185/3008 CLOSED_RANK0 8 0
47 36 913/3384 CLOSED_RANK0 8 0
47 40 609/3760 CLOSED_RANK0 8 0
47 44 273/4136 CLOSED_RANK0 8 0
48 5 2279/480 CLOSED_RANK0 8 0
48 13 2135/1248 CLOSED_RANK0 8 0
48 23 1775/2208 CLOSED_RANK0 8 0
48 43 455/4128 CLOSED_RANK0 8 0
49 2 2397/196 CLOSED_RANK0 8 0
49 4 2385/392 CLOSED_RANK0 8 0
49 6 2365/588 CLOSED_RANK0 8 0
49 8 2337/784 CLOSED_RANK0 8 0
49 18 2077/1764 CLOSED_RANK0 8 0
49 20 2001/1960 CLOSED_RANK0 8 0
49 22 1917/2156 CLOSED_RANK0 8 0
49 24 1825/2352 CLOSED_RANK0 8 0
49 32 1377/3136 CLOSED_RANK0 8 0
49 46 285/4508 CLOSED_RANK0 8 0
50 1 2499/100 CLOSED_RANK0 8 0
50 3 2491/300 CLOSED_RANK0 8 0
50 11 2379/1100 CLOSED_RANK0 8 0
50 13 2331/1300 CLOSED_RANK0 8 0
50 27 1771/2700 CLOSED_RANK0 8 0
