# m  n  cond  lo  up
56 41 15842706369630 0 2
60 1 199565593710 0 2
67 60 114095211932310 0 2
68 41 10224686566626 0 2
68 61 127367266250154 0 2
73 12 54083945832630 0 2
78 25 2218836125415 0 2
84 79 474532508235030 0 2
86 15 29579977977585 0 2
89 4 87214366354290 0 2
92 13 312929255558010 0 2
93 80 452524553456430 0 2
94 89 1068326395929555 0 2
95 82 304006741735515 0 2
97 82 2625302476575555 0 2
100 51 26573347296930 0 2
100 91 171177667885770 0 2
