# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
52 3 2695/312 215185400430 CLOSED 55 3.0931067118104123197902040468667909052 9028.7993687809427382483992737791118053 0 2
52 25 2079/2600 73205902770 CLOSED 43 4.9841202501750452354163045439690293814 8892.2675685673546474010499162192400060 0 2
52 33 1615/3432 1815306683190 CLOSED 62 2.4691130583593240137964139278349027029 9435.4463225688662654739864159306571989 0 2
52 41 1023/4264 18686208046506 CLOSED 47 4.5292924415716269022405201199581486104 9842.2510556819857669730143615316660638 0 2
52 47 495/4888 4768049255970 CLOSED 57 3.0231352335372468077790461503065168924 9814.9266382980308094653106559982508309 0 2
52 51 103/5304 3840820156446 CLOSED 34 8.7823662960240620480150095887539719020 9858.6439297056108396029271278519439516 0 2
53 34 1653/3604 15275410534671 CLOSED 30 10.972507300971715782206168736820760360 9687.5662446697749619203286994527388189 0 2
53 46 693/4876 6559651516803 CLOSED 44 5.2048796706197253065163716006075753403 9844.8602519844229246791389328795638807 0 2
54 43 1067/4644 401686457403 CLOSED 39 6.2908585853382428615726687222686836941 9526.5588407074249764523299700715937452 0 2
55 8 2961/880 867813146970 CLOSED 58 2.8013401242840019904973808773444668538 9243.5500884778167232257165396194718738 0 2
55 12 2881/1320 6234660115530 CLOSED 34 8.4709102836920753899233338436728632021 9418.8287061906096392629495622289669196 0 2
55 18 2701/1980 1504119820665 CLOSED 50 3.7801245436482927461188484782471987473 9225.0247836619140421799144586867204308 0 2
55 42 1261/4620 28771218420945 CLOSED 47 4.7008304806289023348727344021461506656 9949.5596515599338464082621950225298391 0 2
55 48 721/5280 6509421942870 CLOSED 55 3.3360464646041970957170028864693134968 9907.7722786550886509084932397843675598 0 2
56 11 3015/1232 1171980502770 CLOSED 55 3.1186420778731396721265625993402918953 9288.0557044373503390217387298541455175 0 2
56 17 2847/1904 3035716054098 CLOSED 41 5.8051599491911708611857166799270548286 9337.3637142994191523015649121208511230 0 2
56 45 1111/5040 5638467863490 CLOSED 43 5.5588332647159959656412030268012687094 9856.1924377647241112377986474768316682 0 2
56 53 327/5936 8523530305878 CLOSED 46 4.8621466913583105153887117015212093814 10028.417800487611462591223903627223991 0 2
