# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
56 53 327/5936 8523530305878 CLOSED 46 4.8621466913583105153887117015212093814 10028.417800487611462591223903627223991 0 2
57 44 1313/5016 1677734496438 CLOSED 34 8.9279450412725319718991205071448513507 9731.1570143757483533968067228413003651 0 2
57 46 1133/5244 38940049147461 CLOSED 39 6.7982833825232734303887820887658359905 10081.176313707357988224309370156503682 0 2
57 56 113/6384 3673931057538 CLOSED 33 9.7678709811626377561451364520967059893 10002.468445062285868140337614899837919 0 2
58 37 1995/4292 30913421646765 CLOSED 43 5.6095310644081637527873804699658097971 9897.8276393031534364209698567376582265 0 2
59 8 3417/944 621211016874 CLOSED 29 11.475073718772180019147606839913861785 9324.7082679812160590256491457370029408 0 2
60 11 3479/1320 1699314334410 CLOSED 50 3.8957492777959497373103881524802744521 9439.7247354145743773587269029882427802 0 2
61 10 3621/1220 37424972235 CLOSED 33 8.8587971640495578536798910249156585138 9090.1648103493190022815163650698773678 0 2
61 22 3237/2684 7111896242451 CLOSED 43 5.3010150138779140524837485128947345497 9525.2008056361991869188589359072991917 0 2
61 30 2821/3660 14035508854185 CLOSED 34 8.8099131408527381263005197251058084183 9691.4358992335735239215865235519761806 0 2
61 32 2697/3904 2621547794838 CLOSED 53 3.5347237845313117333556871302580334863 9575.2841600923153666072415574784923142 0 2
61 42 1957/5124 56218934870259 CLOSED 40 6.6150674843280952874624873219468382662 10099.380003961622313593901330643205538 0 2
61 56 585/6832 7716000853470 CLOSED 36 7.8613215119234665639385066425160649087 10130.929920532969097521692166345497849 0 2
62 29 3003/3596 10564473198279 CLOSED 45 4.7793126972386075872260010825085108682 9648.9137067568184761724626598952590817 0 2
62 33 2755/4092 25800550472235 CLOSED 48 4.4070843119803919573782501665668100377 9841.5729960333784234027767841104621636 0 2
62 37 2475/4588 2824464141345 CLOSED 40 6.3109872360187293299415157597697043394 9711.8935604049020734363978033346139799 0 2
62 39 2323/4836 50526633353469 CLOSED 36 7.8687774158600129345434094520419830601 10042.426740020244534480248577104283999 0 2
62 43 1995/5332 65021269957665 CLOSED 38 7.0284103577973259074432372752992483278 10145.758901280280468255176685628779451 0 2
62 59 363/7316 3222586195059 CLOSED 40 6.4991595848061034778355305003180259659 10098.375739537295783201759198258831574 0 2
63 4 3953/504 2552183715018 CLOSED 31 10.307160252807535718067183045750667197 9582.5810973836934625765621556585200629 0 2
63 22 3485/2772 3591455148435 CLOSED 42 5.3965812693640383961156996113771744350 9515.9365155686071293806018447747707363 0 2
63 34 2813/4284 10483961712567 CLOSED 37 7.4314111433770299442125881001631041031 9788.2007201937031455549468656368940616 0 2
