# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
34 27 1 61 7 1 1 1 1 1 13 918 1885 427 1 0 1 1 0 2 3 2 1 2 3 R1
34 29 1 63 5 1 0 3 3 3 15 986 1997 315 0 0 1 1 2 2 1 2 1 2 1 R1
34 31 1 65 3 1 2 1 5 5 17 1054 2117 195 0 0 1 1 1 2 3 2 1 2 1 R1
34 33 1 67 1 1 1 3 1 7 19 1122 2245 67 1 0 1 1 0 2 1 2 2 2 2 R1
35 2 1 37 33 1 1 1 1 1 13 70 1229 1221 1 1 0 2 2 3 2 2 1 2 1 R1
35 4 1 39 31 1 0 3 3 3 15 140 1241 1209 0 1 0 2 1 3 0 2 1 2 2 R1
35 18 1 53 17 1 2 1 5 5 5 630 1549 901 1 1 0 2 0 3 2 2 2 2 3 R1
35 24 1 59 11 1 2 3 5 11 11 840 1801 649 1 1 0 2 0 3 0 2 2 2 4 R1
35 26 1 61 9 1 1 1 1 1 13 910 1901 549 1 1 0 2 2 3 2 2 2 2 2 R1
35 32 1 67 3 1 1 3 1 7 19 1120 2249 201 1 1 0 2 2 3 0 2 1 2 5 R1
36 5 1 41 31 1 2 1 5 5 17 180 1321 1271 1 0 1 0 2 0 1 2 1 4 1 R1
36 7 1 43 29 1 1 3 1 7 19 252 1345 1247 1 0 1 0 1 0 3 2 1 4 1 R1
36 11 1 47 25 1 2 3 5 11 23 396 1417 1175 1 0 1 0 2 0 3 2 1 4 1 R1
36 17 1 53 19 1 2 1 5 5 5 612 1585 1007 1 0 1 0 2 0 1 2 1 4 1 R1
36 29 1 65 7 1 2 1 5 5 17 1044 2137 455 0 0 1 0 2 0 1 2 1 4 1 R1
36 31 1 67 5 1 1 3 1 7 19 1116 2257 335 1 0 1 0 1 0 3 2 1 4 1 R1
37 2 1 39 35 1 0 3 3 3 15 74 1373 1365 0 1 0 1 2 1 2 1 1 1 1 R1
37 14 1 51 23 1 0 3 3 3 3 518 1565 1173 0 1 0 1 2 1 2 1 2 1 2 R1
37 16 1 53 21 1 2 1 5 5 5 592 1625 1113 1 1 0 1 1 1 0 1 1 1 4 R1
38 1 1 39 37 1 0 3 3 3 15 38 1445 1443 0 0 1 2 1 2 1 2 0 2 0 R1
38 3 1 41 35 1 2 1 5 5 17 114 1453 1435 1 0 1 2 0 2 3 2 1 2 1 R1
38 5 1 43 33 1 1 3 1 7 19 190 1469 1419 1 0 1 2 2 2 1 2 1 2 1 R1
38 7 1 45 31 1 0 1 3 9 21 266 1493 1395 0 0 1 2 1 2 3 2 1 2 1 R1
38 9 1 47 29 1 2 3 5 11 23 342 1525 1363 1 0 1 2 0 2 1 2 1 2 2 R1
38 15 1 53 23 1 2 1 5 5 5 570 1669 1219 1 0 1 2 0 2 3 2 2 2 2 R1
38 23 1 61 15 1 1 1 1 1 13 874 1973 915 1 0 1 2 2 2 3 2 1 2 1 R1
38 29 1 67 9 1 1 3 1 7 19 1102 2285 603 1 0 1 2 2 2 1 2 1 2 1 R1
38 35 1 73 3 1 1 1 1 1 1 1330 2669 219 1 0 1 2 2 2 3 2 2 2 2 R1
39 10 1 49 29 1 1 1 1 1 1 390 1621 1421 0 1 0 0 1 3 2 2 2 2 2 R1
39 20 1 59 19 1 2 3 5 11 11 780 1921 1121 1 1 0 0 2 3 0 2 2 2 3 R1
39 28 1 67 11 1 1 3 1 7 19 1092 2305 737 1 1 0 0 1 3 0 2 2 2 3 R1
39 38 1 77 1 1 2 1 5 5 5 1482 2965 77 0 1 0 0 2 3 2 2 2 2 2 R1
40 1 1 41 39 1 2 1 5 5 17 40 1601 1599 1 0 1 1 1 0 1 2 0 4 0 R1
40 3 1 43 37 1 1 3 1 7 19 120 1609 1591 1 0 1 1 0 0 3 2 1 4 1 R1
40 7 1 47 33 1 2 3 5 11 23 280 1649 1551 1 0 1 1 1 0 3 2 1 4 1 R1
40 9 1 49 31 1 1 1 1 1 1 360 1681 1519 0 0 1 1 0 0 1 2 1 4 2 R1
40 17 1 57 23 1 0 1 3 9 9 680 1889 1311 0 0 1 1 2 0 1 2 1 4 1 R1
40 19 1 59 21 1 2 3 5 11 11 760 1961 1239 1 0 1 1 1 0 3 2 1 4 1 R1
40 21 1 61 19 1 1 1 1 1 13 840 2041 1159 1 0 1 1 0 0 1 2 2 4 2 R1
40 23 1 63 17 1 0 3 3 3 15 920 2129 1071 0 0 1 1 2 0 3 2 1 4 1 R1
41 2 1 43 39 1 1 3 1 7 19 82 1685 1677 1 1 0 2 2 1 2 1 1 1 1 R1
41 4 1 45 37 1 0 1 3 9 21 164 1697 1665 0 1 0 2 1 1 0 1 1 1 2 R1
