# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
52 7 1 59 45 1 2 3 5 11 11 364 2753 2655 1 0 1 1 1 0 3 2 1 3 1 R1
52 9 1 61 43 1 1 1 1 1 13 468 2785 2623 1 0 1 1 0 0 1 2 1 3 2 R1
52 11 1 63 41 1 0 3 3 3 15 572 2825 2583 0 0 1 1 2 0 3 2 1 3 1 R1
52 17 1 69 35 1 0 1 3 9 21 884 2993 2415 0 0 1 1 2 0 1 2 1 3 1 R1
52 21 1 73 31 1 1 1 1 1 1 1092 3145 2263 1 0 1 1 0 0 1 2 2 3 2 R1
52 23 1 75 29 1 0 3 3 3 3 1196 3233 2175 0 0 1 1 2 0 3 2 1 3 1 R1
52 27 1 79 25 1 1 3 1 7 7 1404 3433 1975 1 0 1 1 0 0 3 2 1 3 3 R1
52 29 1 81 23 1 0 1 3 9 9 1508 3545 1863 0 0 1 1 2 0 1 2 1 3 1 R1
52 35 1 87 17 1 0 3 3 3 15 1820 3929 1479 0 0 1 1 2 0 3 2 2 3 2 R1
52 43 1 95 9 1 2 3 5 11 23 2236 4553 855 0 0 1 1 1 0 3 2 1 3 1 R1
52 45 1 97 7 1 1 1 1 1 1 2340 4729 679 1 0 1 1 0 0 1 2 2 3 3 R1
52 49 1 101 3 1 2 1 5 5 5 2548 5105 303 1 0 1 1 1 0 1 2 1 3 2 R1
53 2 1 55 51 1 1 3 1 7 7 106 2813 2805 0 1 0 2 2 1 2 1 1 1 1 R1
53 4 1 57 49 1 0 1 3 9 9 212 2825 2793 0 1 0 2 1 1 0 1 1 1 2 R1
53 8 1 61 45 1 1 1 1 1 13 424 2873 2745 1 1 0 2 2 1 0 1 1 1 3 R1
53 10 1 63 43 1 0 3 3 3 15 530 2909 2709 0 1 0 2 1 1 2 1 2 1 2 R1
53 12 1 65 41 1 2 1 5 5 17 636 2953 2665 0 1 0 2 0 1 0 1 2 1 3 R1
53 14 1 67 39 1 1 3 1 7 19 742 3005 2613 1 1 0 2 2 1 2 1 2 1 2 R1
53 16 1 69 37 1 0 1 3 9 21 848 3065 2553 0 1 0 2 1 1 0 1 1 1 4 R1
53 18 1 71 35 1 2 3 5 11 23 954 3133 2485 1 1 0 2 0 1 2 1 2 1 3 R1
53 22 1 75 31 1 0 3 3 3 3 1166 3293 2325 0 1 0 2 1 1 2 1 2 1 2 R1
53 24 1 77 29 1 2 1 5 5 5 1272 3385 2233 0 1 0 2 0 1 0 1 2 1 4 R1
53 26 1 79 27 1 1 3 1 7 7 1378 3485 2133 1 1 0 2 2 1 2 1 2 1 2 R1
53 30 1 83 23 1 2 3 5 11 11 1590 3709 1909 1 1 0 2 0 1 2 1 3 1 3 R1
53 36 1 89 17 1 2 1 5 5 17 1908 4105 1513 1 1 0 2 0 1 0 1 2 1 4 R1
53 40 1 93 13 1 0 1 3 9 21 2120 4409 1209 0 1 0 2 1 1 0 1 2 1 4 R1
53 42 1 95 11 1 2 3 5 11 23 2226 4573 1045 0 1 0 2 0 1 2 1 3 1 3 R1
53 48 1 101 5 1 2 1 5 5 5 2544 5113 505 1 1 0 2 0 1 0 1 2 1 5 R1
53 50 1 103 3 1 1 3 1 7 7 2650 5309 309 1 1 0 2 2 1 2 1 2 1 3 R1
53 52 1 105 1 1 0 1 3 9 9 2756 5513 105 0 1 0 2 1 1 0 1 2 1 3 R1
54 7 1 61 47 1 1 1 1 1 13 378 2965 2867 1 0 1 0 1 2 3 2 1 4 1 R1
54 11 1 65 43 1 2 1 5 5 17 594 3037 2795 0 0 1 0 2 2 3 2 1 4 1 R1
54 13 1 67 41 1 1 3 1 7 19 702 3085 2747 1 0 1 0 1 2 1 2 1 4 1 R1
54 19 1 73 35 1 1 1 1 1 1 1026 3277 2555 1 0 1 0 1 2 3 2 1 4 1 R1
54 23 1 77 31 1 2 1 5 5 5 1242 3445 2387 0 0 1 0 2 2 3 2 1 4 1 R1
54 35 1 89 19 1 2 1 5 5 17 1890 4141 1691 1 0 1 0 2 2 3 2 2 4 2 R1
54 37 1 91 17 1 1 3 1 7 19 1998 4285 1547 0 0 1 0 1 2 1 2 1 4 1 R1
54 41 1 95 13 1 2 3 5 11 23 2214 4597 1235 0 0 1 0 2 2 1 2 1 4 1 R1
54 47 1 101 7 1 2 1 5 5 5 2538 5125 707 1 0 1 0 2 2 3 2 1 4 1 R1
54 49 1 103 5 1 1 3 1 7 7 2646 5317 515 1 0 1 0 1 2 1 2 1 4 2 R1
54 53 1 107 1 1 2 3 5 11 11 2862 5725 107 1 0 1 0 2 2 1 2 1 4 1 R1
55 2 1 57 53 1 0 1 3 9 9 110 3029 3021 0 1 0 1 2 3 2 2 1 2 1 R1
55 24 1 79 31 1 1 3 1 7 7 1320 3601 2449 1 1 0 1 0 3 0 2 2 2 4 R1
55 28 1 83 27 1 2 3 5 11 11 1540 3809 2241 1 1 0 1 1 3 0 2 2 2 3 R1
55 34 1 89 21 1 2 1 5 5 17 1870 4181 1869 1 1 0 1 1 3 2 2 2 2 2 R1
55 46 1 101 9 1 2 1 5 5 5 2530 5141 909 1 1 0 1 1 3 2 2 2 2 2 R1
55 52 1 107 3 1 2 3 5 11 11 2860 5729 321 1 1 0 1 1 3 0 2 2 2 3 R1
56 5 1 61 51 1 1 1 1 1 13 280 3161 3111 1 0 1 2 2 0 1 2 1 4 1 R1
56 9 1 65 47 1 2 1 5 5 17 504 3217 3055 0 0 1 2 0 0 1 2 1 4 2 R1
56 13 1 69 43 1 0 1 3 9 21 728 3305 2967 0 0 1 2 1 0 1 2 1 4 1 R1
56 15 1 71 41 1 2 3 5 11 23 840 3361 2911 1 0 1 2 0 0 3 2 2 4 2 R1
56 19 1 75 37 1 0 3 3 3 3 1064 3497 2775 0 0 1 2 1 0 3 2 1 4 1 R1
56 27 1 83 29 1 2 3 5 11 11 1512 3865 2407 1 0 1 2 0 0 3 2 1 4 3 R1
56 29 1 85 27 1 1 1 1 1 13 1624 3977 2295 0 0 1 2 2 0 1 2 1 4 1 R1
56 33 1 89 23 1 2 1 5 5 17 1848 4225 2047 1 0 1 2 0 0 1 2 2 4 2 R1
56 37 1 93 19 1 0 1 3 9 21 2072 4505 1767 0 0 1 2 1 0 1 2 1 4 1 R1
56 43 1 99 13 1 0 3 3 3 3 2408 4985 1287 0 0 1 2 1 0 3 2 1 4 1 R1
56 51 1 107 5 1 2 3 5 11 11 2856 5737 535 1 0 1 2 0 0 3 2 2 4 2 R1
56 55 1 111 1 1 0 3 3 3 15 3080 6161 111 0 0 1 2 1 0 3 2 2 4 2 R1
57 14 1 71 43 1 2 3 5 11 23 798 3445 3053 1 1 0 0 2 1 2 2 2 2 2 R1
57 16 1 73 41 1 1 1 1 1 1 912 3505 2993 1 1 0 0 1 1 0 2 1 2 4 R1
57 20 1 77 37 1 2 1 5 5 5 1140 3649 2849 0 1 0 0 2 1 0 2 2 2 3 R1
57 22 1 79 35 1 1 3 1 7 7 1254 3733 2765 1 1 0 0 1 1 2 2 2 2 2 R1
57 28 1 85 29 1 1 1 1 1 13 1596 4033 2465 0 1 0 0 1 1 0 2 2 2 3 R1
57 34 1 91 23 1 1 3 1 7 19 1938 4405 2093 0 1 0 0 1 1 2 2 2 2 2 R1
57 50 1 107 7 1 2 3 5 11 11 2850 5749 749 1 1 0 0 2 1 2 2 2 2 3 R1
57 52 1 109 5 1 1 1 1 1 13 2964 5953 545 1 1 0 0 1 1 0 2 2 2 3 R1
58 3 1 61 55 1 1 1 1 1 13 174 3373 3355 1 0 1 1 0 2 3 2 1 2 1 R1
58 5 1 63 53 1 0 3 3 3 15 290 3389 3339 0 0 1 1 2 2 1 2 1 2 1 R1
58 7 1 65 51 1 2 1 5 5 17 406 3413 3315 0 0 1 1 1 2 3 2 1 2 1 R1
58 9 1 67 49 1 1 3 1 7 19 522 3445 3283 1 0 1 1 0 2 1 2 1 2 2 R1
58 11 1 69 47 1 0 1 3 9 21 638 3485 3243 0 0 1 1 2 2 3 2 1 2 1 R1
58 13 1 71 45 1 2 3 5 11 23 754 3533 3195 1 0 1 1 1 2 1 2 1 2 1 R1
58 19 1 77 39 1 2 1 5 5 5 1102 3725 3003 0 0 1 1 1 2 3 2 1 2 1 R1
58 21 1 79 37 1 1 3 1 7 7 1218 3805 2923 1 0 1 1 0 2 1 2 2 2 2 R1
58 27 1 85 31 1 1 1 1 1 13 1566 4093 2635 0 0 1 1 0 2 3 2 1 2 3 R1
58 31 1 89 27 1 2 1 5 5 17 1798 4325 2403 1 0 1 1 1 2 3 2 1 2 1 R1
58 33 1 91 25 1 1 3 1 7 19 1914 4453 2275 0 0 1 1 0 2 1 2 2 2 2 R1
58 35 1 93 23 1 0 1 3 9 21 2030 4589 2139 0 0 1 1 2 2 3 2 2 2 2 R1
58 41 1 99 17 1 0 3 3 3 3 2378 5045 1683 0 0 1 1 2 2 1 2 1 2 1 R1
58 43 1 101 15 1 2 1 5 5 5 2494 5213 1515 1 0 1 1 1 2 3 2 1 2 1 R1
58 49 1 107 9 1 2 3 5 11 11 2842 5765 963 1 0 1 1 1 2 1 2 1 2 2 R1
58 51 1 109 7 1 1 1 1 1 13 2958 5965 763 1 0 1 1 0 2 3 2 2 2 2 R1
58 53 1 111 5 1 0 3 3 3 15 3074 6173 555 0 0 1 1 2 2 1 2 1 2 1 R1
59 2 1 61 57 1 1 1 1 1 13 118 3485 3477 1 1 0 2 2 3 2 1 1 1 1 R1
59 4 1 63 55 1 0 3 3 3 15 236 3497 3465 0 1 0 2 1 3 0 1 1 1 2 R1
59 10 1 69 49 1 0 1 3 9 21 590 3581 3381 0 1 0 2 1 3 2 1 2 1 2 R1
59 12 1 71 47 1 2 3 5 11 23 708 3625 3337 1 1 0 2 0 3 0 1 2 1 3 R1
59 14 1 73 45 1 1 1 1 1 1 826 3677 3285 1 1 0 2 2 3 2 1 2 1 2 R1
59 16 1 75 43 1 0 3 3 3 3 944 3737 3225 0 1 0 2 1 3 0 1 1 1 4 R1
59 22 1 81 37 1 0 1 3 9 9 1298 3965 2997 0 1 0 2 1 3 2 1 2 1 2 R1
59 24 1 83 35 1 2 3 5 11 11 1416 4057 2905 1 1 0 2 0 3 0 1 2 1 4 R1
59 26 1 85 33 1 1 1 1 1 13 1534 4157 2805 0 1 0 2 2 3 2 1 2 1 2 R1
59 28 1 87 31 1 0 3 3 3 15 1652 4265 2697 0 1 0 2 1 3 0 1 2 1 3 R1
59 36 1 95 23 1 2 3 5 11 23 2124 4777 2185 0 1 0 2 0 3 0 1 2 1 4 R1
59 38 1 97 21 1 1 1 1 1 1 2242 4925 2037 1 1 0 2 2 3 2 1 2 1 2 R1
59 44 1 103 15 1 1 3 1 7 7 2596 5417 1545 1 1 0 2 2 3 0 1 2 1 3 R1
59 46 1 105 13 1 0 1 3 9 9 2714 5597 1365 0 1 0 2 1 3 2 1 2 1 2 R1
59 50 1 109 9 1 1 1 1 1 13 2950 5981 981 1 1 0 2 2 3 2 1 2 1 3 R1
59 54 1 113 5 1 2 1 5 5 17 3186 6397 565 1 1 0 2 0 3 2 1 2 1 4 R1
59 56 1 115 3 1 1 3 1 7 19 3304 6617 345 0 1 0 2 2 3 0 1 2 1 4 R1
60 7 1 67 53 1 1 3 1 7 19 420 3649 3551 1 0 1 0 1 0 3 3 1 4 1 R1
60 13 1 73 47 1 1 1 1 1 1 780 3769 3431 1 0 1 0 1 0 1 3 1 4 1 R1
60 17 1 77 43 1 2 1 5 5 5 1020 3889 3311 0 0 1 0 2 0 1 3 1 4 1 R1
60 41 1 101 19 1 2 1 5 5 5 2460 5281 1919 1 0 1 0 2 0 1 3 1 4 1 R1
60 49 1 109 11 1 1 1 1 1 13 2940 6001 1199 1 0 1 0 1 0 1 3 1 4 2 R1
60 59 1 119 1 1 2 3 5 11 23 3540 7081 119 0 0 1 0 2 0 3 3 1 4 1 R1
61 2 1 63 59 1 0 3 3 3 15 122 3725 3717 0 1 0 1 2 1 2 1 1 1 1 R1
61 6 1 67 55 1 1 3 1 7 19 366 3757 3685 1 1 0 1 0 1 2 1 2 1 2 R1
61 12 1 73 49 1 1 1 1 1 1 732 3865 3577 1 1 0 1 0 1 0 1 2 1 3 R1
61 14 1 75 47 1 0 3 3 3 3 854 3917 3525 0 1 0 1 2 1 2 1 2 1 2 R1
61 18 1 79 43 1 1 3 1 7 7 1098 4045 3397 1 1 0 1 0 1 2 1 2 1 3 R1
61 20 1 81 41 1 0 1 3 9 9 1220 4121 3321 0 1 0 1 2 1 0 1 2 1 3 R1
61 34 1 95 27 1 2 3 5 11 23 2074 4877 2565 0 1 0 1 1 1 2 1 2 1 2 R1
61 36 1 97 25 1 1 1 1 1 1 2196 5017 2425 1 1 0 1 0 1 0 1 2 1 4 R1
61 40 1 101 21 1 2 1 5 5 5 2440 5321 2121 1 1 0 1 1 1 0 1 2 1 4 R1
61 48 1 109 13 1 1 1 1 1 13 2928 6025 1417 1 1 0 1 0 1 0 1 2 1 5 R1
61 50 1 111 11 1 0 3 3 3 15 3050 6221 1221 0 1 0 1 2 1 2 1 2 1 3 R1
61 52 1 113 9 1 2 1 5 5 17 3172 6425 1017 1 1 0 1 1 1 0 1 2 1 3 R1
61 54 1 115 7 1 1 3 1 7 19 3294 6637 805 0 1 0 1 0 1 2 1 2 1 4 R1
61 58 1 119 3 1 2 3 5 11 23 3538 7085 357 0 1 0 1 1 1 2 1 2 1 2 R1
61 60 1 121 1 1 1 1 1 1 1 3660 7321 121 0 1 0 1 0 1 0 1 3 1 4 R1
62 1 1 63 61 1 0 3 3 3 15 62 3845 3843 0 0 1 2 1 2 1 2 0 2 0 R1
62 3 1 65 59 1 2 1 5 5 17 186 3853 3835 0 0 1 2 0 2 3 2 1 2 1 R1
62 7 1 69 55 1 0 1 3 9 21 434 3893 3795 0 0 1 2 1 2 3 2 1 2 1 R1
62 9 1 71 53 1 2 3 5 11 23 558 3925 3763 1 0 1 2 0 2 1 2 1 2 2 R1
62 11 1 73 51 1 1 1 1 1 1 682 3965 3723 1 0 1 2 2 2 3 2 1 2 1 R1
62 13 1 75 49 1 0 3 3 3 3 806 4013 3675 0 0 1 2 1 2 1 2 1 2 1 R1
62 15 1 77 47 1 2 1 5 5 5 930 4069 3619 0 0 1 2 0 2 3 2 2 2 2 R1
62 17 1 79 45 1 1 3 1 7 7 1054 4133 3555 1 0 1 2 2 2 1 2 1 2 1 R1
62 19 1 81 43 1 0 1 3 9 9 1178 4205 3483 0 0 1 2 1 2 3 2 1 2 1 R1
62 21 1 83 41 1 2 3 5 11 11 1302 4285 3403 1 0 1 2 0 2 1 2 2 2 2 R1
62 35 1 97 27 1 1 1 1 1 1 2170 5069 2619 1 0 1 2 2 2 3 2 2 2 2 R1
62 45 1 107 17 1 2 3 5 11 11 2790 5869 1819 1 0 1 2 0 2 1 2 2 2 3 R1
62 47 1 109 15 1 1 1 1 1 13 2914 6053 1635 1 0 1 2 2 2 3 2 1 2 1 R1
62 49 1 111 13 1 0 3 3 3 15 3038 6245 1443 0 0 1 2 1 2 1 2 1 2 2 R1
62 51 1 113 11 1 2 1 5 5 17 3162 6445 1243 1 0 1 2 0 2 3 2 2 2 2 R1
62 53 1 115 9 1 1 3 1 7 19 3286 6653 1035 0 0 1 2 2 2 1 2 1 2 1 R1
62 55 1 117 7 1 0 1 3 9 21 3410 6869 819 0 0 1 2 1 2 3 2 2 2 2 R1
62 57 1 119 5 1 2 3 5 11 23 3534 7093 595 0 0 1 2 0 2 1 2 2 2 2 R1
62 61 1 123 1 1 0 3 3 3 3 3782 7565 123 0 0 1 2 1 2 1 2 1 2 1 R1
63 2 1 65 61 1 2 1 5 5 17 126 3973 3965 0 1 0 0 2 3 2 2 1 3 1 R1
63 8 1 71 55 1 2 3 5 11 23 504 4033 3905 1 1 0 0 2 3 0 2 1 3 3 R1
63 10 1 73 53 1 1 1 1 1 1 630 4069 3869 1 1 0 0 1 3 2 2 2 3 2 R1
63 16 1 79 47 1 1 3 1 7 7 1008 4225 3713 1 1 0 0 1 3 0 2 1 3 4 R1
63 20 1 83 43 1 2 3 5 11 11 1260 4369 3569 1 1 0 0 2 3 0 2 2 3 3 R1
63 40 1 103 23 1 1 3 1 7 7 2520 5569 2369 1 1 0 0 1 3 0 2 2 3 4 R1
63 46 1 109 17 1 1 1 1 1 13 2898 6085 1853 1 1 0 0 1 3 2 2 2 3 2 R1
64 1 1 65 63 1 2 1 5 5 17 64 4097 4095 0 0 1 1 1 0 1 1 0 6 0 R1
64 7 1 71 57 1 2 3 5 11 23 448 4145 4047 1 0 1 1 1 0 3 1 1 6 1 R1
64 9 1 73 55 1 1 1 1 1 1 576 4177 4015 1 0 1 1 0 0 1 1 1 6 2 R1
64 17 1 81 47 1 0 1 3 9 9 1088 4385 3807 0 0 1 1 2 0 1 1 1 6 1 R1
64 19 1 83 45 1 2 3 5 11 11 1216 4457 3735 1 0 1 1 1 0 3 1 1 6 1 R1
64 21 1 85 43 1 1 1 1 1 13 1344 4537 3655 0 0 1 1 0 0 1 1 2 6 2 R1
64 25 1 89 39 1 2 1 5 5 17 1600 4721 3471 1 0 1 1 1 0 1 1 1 6 2 R1
64 27 1 91 37 1 1 3 1 7 19 1728 4825 3367 0 0 1 1 0 0 3 1 1 6 3 R1
64 37 1 101 27 1 2 1 5 5 5 2368 5465 2727 1 0 1 1 1 0 1 1 1 6 1 R1
64 39 1 103 25 1 1 3 1 7 7 2496 5617 2575 1 0 1 1 0 0 3 1 2 6 2 R1
64 41 1 105 23 1 0 1 3 9 9 2624 5777 2415 0 0 1 1 2 0 1 1 1 6 1 R1
64 49 1 113 15 1 2 1 5 5 17 3136 6497 1695 1 0 1 1 1 0 1 1 1 6 2 R1
64 55 1 119 9 1 2 3 5 11 23 3520 7121 1071 0 0 1 1 1 0 3 1 2 6 2 R1
65 2 1 67 63 1 1 3 1 7 19 130 4229 4221 1 1 0 2 2 1 2 2 1 2 1 R1
65 4 1 69 61 1 0 1 3 9 21 260 4241 4209 0 1 0 2 1 1 0 2 1 2 2 R1
65 6 1 71 59 1 2 3 5 11 23 390 4261 4189 1 1 0 2 0 1 2 2 2 2 2 R1
65 16 1 81 49 1 0 1 3 9 9 1040 4481 3969 0 1 0 2 1 1 0 2 1 2 4 R1
65 22 1 87 43 1 0 3 3 3 15 1430 4709 3741 0 1 0 2 1 1 2 2 2 2 2 R1
65 24 1 89 41 1 2 1 5 5 17 1560 4801 3649 1 1 0 2 0 1 0 2 2 2 4 R1
65 34 1 99 31 1 0 3 3 3 3 2210 5381 3069 0 1 0 2 1 1 2 2 2 2 2 R1
65 38 1 103 27 1 1 3 1 7 7 2470 5669 2781 1 1 0 2 2 1 2 2 2 2 2 R1
65 48 1 113 17 1 2 1 5 5 17 3120 6529 1921 1 1 0 2 0 1 0 2 2 2 5 R1
65 56 1 121 9 1 1 1 1 1 1 3640 7361 1089 0 1 0 2 2 1 0 2 2 2 4 R1
65 58 1 123 7 1 0 3 3 3 3 3770 7589 861 0 1 0 2 1 1 2 2 2 2 2 R1
65 62 1 127 3 1 1 3 1 7 7 4030 8069 381 1 1 0 2 2 1 2 2 2 2 2 R1
65 64 1 129 1 1 0 1 3 9 9 4160 8321 129 0 1 0 2 1 1 0 2 1 2 6 R1
66 7 1 73 59 1 1 1 1 1 1 462 4405 4307 1 0 1 0 1 2 3 3 1 3 1 R1
66 13 1 79 53 1 1 3 1 7 7 858 4525 4187 1 0 1 0 1 2 1 3 1 3 1 R1
66 29 1 95 37 1 2 3 5 11 23 1914 5197 3515 0 0 1 0 2 2 1 3 1 3 1 R1
66 31 1 97 35 1 1 1 1 1 1 2046 5317 3395 1 0 1 0 1 2 3 3 1 3 1 R1
66 35 1 101 31 1 2 1 5 5 5 2310 5581 3131 1 0 1 0 2 2 3 3 2 3 2 R1
66 37 1 103 29 1 1 3 1 7 7 2442 5725 2987 1 0 1 0 1 2 1 3 1 3 1 R1
66 41 1 107 25 1 2 3 5 11 11 2706 6037 2675 1 0 1 0 2 2 1 3 1 3 1 R1
66 43 1 109 23 1 1 1 1 1 13 2838 6205 2507 1 0 1 0 1 2 3 3 1 3 1 R1
66 61 1 127 5 1 1 3 1 7 7 4026 8077 635 1 0 1 0 1 2 1 3 1 3 1 R1
67 4 1 71 63 1 2 3 5 11 23 268 4505 4473 1 1 0 1 1 3 0 1 1 1 2 R1
67 6 1 73 61 1 1 1 1 1 1 402 4525 4453 1 1 0 1 0 3 2 1 2 1 2 R1
67 12 1 79 55 1 1 3 1 7 7 804 4633 4345 1 1 0 1 0 3 0 1 2 1 3 R1
67 16 1 83 51 1 2 3 5 11 11 1072 4745 4233 1 1 0 1 1 3 0 1 1 1 4 R1
67 26 1 93 41 1 0 1 3 9 21 1742 5165 3813 0 1 0 1 2 3 2 1 2 1 2 R1
67 28 1 95 39 1 2 3 5 11 23 1876 5273 3705 0 1 0 1 1 3 0 1 2 1 3 R1
67 40 1 107 27 1 2 3 5 11 11 2680 6089 2889 1 1 0 1 1 3 0 1 2 1 4 R1
67 42 1 109 25 1 1 1 1 1 13 2814 6253 2725 1 1 0 1 0 3 2 1 3 1 3 R1
67 56 1 123 11 1 0 3 3 3 3 3752 7625 1353 0 1 0 1 2 3 0 1 2 1 4 R1
67 58 1 125 9 1 2 1 5 5 5 3886 7853 1125 0 1 0 1 1 3 2 1 2 1 2 R1
67 62 1 129 5 1 0 1 3 9 9 4154 8333 645 0 1 0 1 2 3 2 1 2 1 2 R1
67 66 1 133 1 1 1 1 1 1 13 4422 8845 133 0 1 0 1 0 3 2 1 3 1 3 R1
68 1 1 69 67 1 0 1 3 9 21 68 4625 4623 0 0 1 2 1 0 1 2 0 3 0 R1
68 5 1 73 63 1 1 1 1 1 1 340 4649 4599 1 0 1 2 2 0 1 2 1 3 1 R1
68 7 1 75 61 1 0 3 3 3 3 476 4673 4575 0 0 1 2 1 0 3 2 1 3 1 R1
68 11 1 79 57 1 1 3 1 7 7 748 4745 4503 1 0 1 2 2 0 3 2 1 3 1 R1
68 13 1 81 55 1 0 1 3 9 9 884 4793 4455 0 0 1 2 1 0 1 2 1 3 1 R1
68 15 1 83 53 1 2 3 5 11 11 1020 4849 4399 1 0 1 2 0 0 3 2 2 3 2 R1
68 19 1 87 49 1 0 3 3 3 15 1292 4985 4263 0 0 1 2 1 0 3 2 1 3 1 R1
68 21 1 89 47 1 2 1 5 5 17 1428 5065 4183 1 0 1 2 0 0 1 2 2 3 2 R1
68 23 1 91 45 1 1 3 1 7 19 1564 5153 4095 0 0 1 2 2 0 3 2 1 3 1 R1
68 25 1 93 43 1 0 1 3 9 21 1700 5249 3999 0 0 1 2 1 0 1 2 1 3 2 R1
68 27 1 95 41 1 2 3 5 11 23 1836 5353 3895 0 0 1 2 0 0 3 2 1 3 3 R1
68 29 1 97 39 1 1 1 1 1 1 1972 5465 3783 1 0 1 2 2 0 1 2 1 3 1 R1
68 31 1 99 37 1 0 3 3 3 3 2108 5585 3663 0 0 1 2 1 0 3 2 1 3 1 R1
68 37 1 105 31 1 0 1 3 9 9 2516 5993 3255 0 0 1 2 1 0 1 2 1 3 1 R1
68 43 1 111 25 1 0 3 3 3 15 2924 6473 2775 0 0 1 2 1 0 3 2 1 3 1 R1
68 45 1 113 23 1 2 1 5 5 17 3060 6649 2599 1 0 1 2 0 0 1 2 2 3 3 R1
68 53 1 121 15 1 1 1 1 1 1 3604 7433 1815 0 0 1 2 2 0 1 2 1 3 1 R1
68 57 1 125 11 1 2 1 5 5 5 3876 7873 1375 0 0 1 2 0 0 1 2 2 3 2 R1
68 59 1 127 9 1 1 3 1 7 7 4012 8105 1143 1 0 1 2 2 0 3 2 1 3 1 R1
68 67 1 135 1 1 0 3 3 3 15 4556 9113 135 0 0 1 2 1 0 3 2 1 3 1 R1
69 8 1 77 61 1 2 1 5 5 5 552 4825 4697 0 1 0 0 2 1 0 2 1 2 3 R1
69 16 1 85 53 1 1 1 1 1 13 1104 5017 4505 0 1 0 0 1 1 0 2 1 2 4 R1
69 20 1 89 49 1 2 1 5 5 17 1380 5161 4361 1 1 0 0 2 1 0 2 2 2 3 R1
69 28 1 97 41 1 1 1 1 1 1 1932 5545 3977 1 1 0 0 1 1 0 2 2 2 3 R1
69 32 1 101 37 1 2 1 5 5 5 2208 5785 3737 1 1 0 0 2 1 0 2 1 2 5 R1
69 38 1 107 31 1 2 3 5 11 11 2622 6205 3317 1 1 0 0 2 1 2 2 2 2 2 R1
69 40 1 109 29 1 1 1 1 1 13 2760 6361 3161 1 1 0 0 1 1 0 2 2 2 4 R1
69 44 1 113 25 1 2 1 5 5 17 3036 6697 2825 1 1 0 0 2 1 0 2 2 2 3 R1
69 52 1 121 17 1 1 1 1 1 1 3588 7465 2057 0 1 0 0 1 1 0 2 2 2 3 R1
69 58 1 127 11 1 1 3 1 7 7 4002 8125 1397 1 1 0 0 1 1 2 2 2 2 2 R1
69 62 1 131 7 1 2 3 5 11 11 4278 8605 917 1 1 0 0 2 1 2 2 2 2 2 R1
70 23 1 93 47 1 0 1 3 9 21 1610 5429 4371 0 0 1 1 2 2 3 3 1 3 1 R1
70 27 1 97 43 1 1 1 1 1 1 1890 5629 4171 1 0 1 1 0 2 3 3 1 3 3 R1
70 31 1 101 39 1 2 1 5 5 5 2170 5861 3939 1 0 1 1 1 2 3 3 1 3 1 R1
70 41 1 111 29 1 0 3 3 3 15 2870 6581 3219 0 0 1 1 2 2 1 3 1 3 1 R1
70 47 1 117 23 1 0 1 3 9 21 3290 7109 2691 0 0 1 1 2 2 3 3 1 3 1 R1
70 51 1 121 19 1 1 1 1 1 1 3570 7501 2299 0 0 1 1 0 2 3 3 2 3 2 R1
70 67 1 137 3 1 2 1 5 5 17 4690 9389 411 1 0 1 1 1 2 3 3 1 3 1 R1
71 6 1 77 65 1 2 1 5 5 5 426 5077 5005 0 1 0 2 0 3 2 1 2 1 2 R1
71 8 1 79 63 1 1 3 1 7 7 568 5105 4977 1 1 0 2 2 3 0 1 1 1 3 R1
71 12 1 83 59 1 2 3 5 11 11 852 5185 4897 1 1 0 2 0 3 0 1 2 1 3 R1
71 14 1 85 57 1 1 1 1 1 13 994 5237 4845 0 1 0 2 2 3 2 1 2 1 2 R1
71 26 1 97 45 1 1 1 1 1 1 1846 5717 4365 1 1 0 2 2 3 2 1 2 1 2 R1
71 28 1 99 43 1 0 3 3 3 3 1988 5825 4257 0 1 0 2 1 3 0 1 2 1 3 R1
71 30 1 101 41 1 2 1 5 5 5 2130 5941 4141 1 1 0 2 0 3 2 1 3 1 3 R1
71 32 1 103 39 1 1 3 1 7 7 2272 6065 4017 1 1 0 2 2 3 0 1 1 1 5 R1
71 34 1 105 37 1 0 1 3 9 9 2414 6197 3885 0 1 0 2 1 3 2 1 2 1 2 R1
71 36 1 107 35 1 2 3 5 11 11 2556 6337 3745 1 1 0 2 0 3 0 1 2 1 4 R1
71 40 1 111 31 1 0 3 3 3 15 2840 6641 3441 0 1 0 2 1 3 0 1 2 1 4 R1
71 42 1 113 29 1 2 1 5 5 17 2982 6805 3277 1 1 0 2 0 3 2 1 3 1 3 R1
71 46 1 117 25 1 0 1 3 9 21 3266 7157 2925 0 1 0 2 1 3 2 1 2 1 2 R1
71 48 1 119 23 1 2 3 5 11 23 3408 7345 2737 0 1 0 2 0 3 0 1 2 1 5 R1
71 58 1 129 13 1 0 1 3 9 9 4118 8405 1677 0 1 0 2 1 3 2 1 2 1 2 R1
71 60 1 131 11 1 2 3 5 11 11 4260 8641 1441 1 1 0 2 0 3 0 1 3 1 4 R1
71 64 1 135 7 1 0 3 3 3 15 4544 9137 945 0 1 0 2 1 3 0 1 1 1 6 R1
