# Refined data: (m, n, N, [a_p for p in first 20 primes])
[2, 1, 21, [-1, 1, -2, -1, 4, -2, -6, 4, 0, -2, 0, 6, 2, -4, 0, 6, 12, -2, 4, 0]]
[3, 2, 1785, [-1, 1, 1, -1, 4, 6, 1, -4, 0, 6, -8, -2, -6, 4, 0, -10, 12, -2, 12, 16]]
[4, 1, 4830, [1, 1, 1, -1, 4, -2, 2, -4, -1, -2, 8, 6, 2, 4, 8, -2, -4, 14, -4, 0]]
[4, 3, 22134, [1, 1, -2, 1, 4, -2, 1, -4, 0, -2, -1, -10, -6, 12, -8, 6, -12, -2, 4, 0]]
[5, 2, 4305, [-1, 1, 1, 1, 4, -2, -6, -4, 0, -10, 8, -10, 1, -4, 0, -10, -4, -2, -12, -16]]
[5, 4, 6510, [1, 1, 1, -1, 4, -2, -6, 4, 0, 6, -1, 6, 10, -4, 0, 6, -4, -10, 4, 8]]
[6, 1, 113505, [-1, 1, 1, 1, 4, -2, -6, 4, -1, 6, -8, -2, -6, 12, -1, 6, 4, 6, 4, -8]]
[6, 5, 82005, [-1, 1, 1, -1, 1, -2, -6, -4, 0, -2, -8, -10, -6, 4, -8, -10, -4, -10, 4, -1]]
[7, 2, 130305, [-1, 1, 1, 1, 4, -2, 1, 4, 0, -2, 8, -2, 2, -4, -8, 14, 4, -10, 12, 0]]
[7, 4, 945714, [1, 1, -2, 1, 1, 6, -6, 4, -1, 6, -8, -10, 2, -4, 8, 6, -4, -2, 4, 0]]
[7, 6, 1880151, [-1, 1, -2, 1, 4, 1, 2, 4, 0, 6, 8, -2, -6, 12, 0, -2, -4, -10, -12, -1]]
[8, 1, 155946, [1, 1, -2, 1, 4, 6, -6, -4, 0, -2, 8, 6, -6, 4, -1, -10, -4, 6, 12, 8]]
[8, 3, 237930, [1, 1, 1, -1, 1, -2, -6, 4, 0, -2, 8, -2, -6, 4, 0, 6, -12, 6, 12, -8]]
[8, 5, 1902810, [1, 1, 1, -1, 4, 1, 1, 4, 0, -2, -8, 6, 1, 12, -8, 6, -4, -2, 4, -16]]
[8, 7, 2586990, [1, 1, 1, 1, 4, -2, -6, -4, 0, -2, 0, -2, -6, 4, 0, 6, -4, 14, 4, 8]]
[9, 2, 1070223, [-1, 1, -2, 1, 1, -2, 2, -4, 0, -2, -8, 6, 1, 4, 0, 6, 4, -2, 12, 0]]
[9, 4, 374010, [1, 1, 1, -1, 4, 1, -6, -4, 0, 6, 0, -10, -6, 12, 8, -10, -12, -10, 4, 0]]
[9, 8, 2085594, [1, 1, -2, -1, 4, -2, 1, 4, -1, -10, -8, -2, 2, 4, -8, -10, -12, -2, -4, 0]]
[10, 1, 1551165, [-1, 1, 1, -1, 1, -2, 1, 4, 0, -2, 0, -10, 2, 12, 8, -2, 4, 6, -12, 0]]
[10, 3, 6389565, [-1, 1, 1, 1, 4, 1, -6, 4, 0, 6, -1, 6, 2, 4, 0, -10, -4, -2, 4, -8]]
[10, 7, 30343215, [-1, 1, 1, 1, 4, -2, 1, -4, 0, -2, 0, 6, -6, 4, 8, 6, -12, -2, 4, 0]]
[10, 9, 9131115, [-1, 1, 1, -1, 4, -2, -6, 1, -1, -2, 8, 6, -6, -4, 0, 6, 12, -2, 4, 8]]
