# (m, n, q, N, [a_2,a_3,a_5,...], u=2mn, v=m^2-n^2)
[2, 1, 3/4, 21, [-1, 1, -2, -1, 4, -2, -6, 4, 0, -2, 0, 6, 2, -4, 0, 6, 12, -2, 4, 0], 4, 3]
[3, 2, 5/12, 1785, [-1, 1, 1, -1, 4, 6, 1, -4, 0, 6, -8, -2, -6, 4, 0, -10, 12, -2, 12, 16], 12, 5]
[4, 1, 15/8, 4830, [1, 1, 1, -1, 4, -2, 2, -4, -1, -2, 8, 6, 2, 4, 8, -2, -4, 14, -4, 0], 8, 15]
[4, 3, 7/24, 22134, [1, 1, -2, 1, 4, -2, 1, -4, 0, -2, -1, -10, -6, 12, -8, 6, -12, -2, 4, 0], 24, 7]
[5, 2, 21/20, 4305, [-1, 1, 1, 1, 4, -2, -6, -4, 0, -10, 8, -10, 1, -4, 0, -10, -4, -2, -12, -16], 20, 21]
[5, 4, 9/40, 6510, [1, 1, 1, -1, 4, -2, -6, 4, 0, 6, -1, 6, 10, -4, 0, 6, -4, -10, 4, 8], 40, 9]
[6, 1, 35/12, 113505, [-1, 1, 1, 1, 4, -2, -6, 4, -1, 6, -8, -2, -6, 12, -1, 6, 4, 6, 4, -8], 12, 35]
[6, 5, 11/60, 82005, [-1, 1, 1, -1, 1, -2, -6, -4, 0, -2, -8, -10, -6, 4, -8, -10, -4, -10, 4, -1], 60, 11]
[7, 2, 45/28, 130305, [-1, 1, 1, 1, 4, -2, 1, 4, 0, -2, 8, -2, 2, -4, -8, 14, 4, -10, 12, 0], 28, 45]
[7, 4, 33/56, 945714, [1, 1, -2, 1, 1, 6, -6, 4, -1, 6, -8, -10, 2, -4, 8, 6, -4, -2, 4, 0], 56, 33]
[7, 6, 13/84, 1880151, [-1, 1, -2, 1, 4, 1, 2, 4, 0, 6, 8, -2, -6, 12, 0, -2, -4, -10, -12, -1], 84, 13]
[8, 1, 63/16, 155946, [1, 1, -2, 1, 4, 6, -6, -4, 0, -2, 8, 6, -6, 4, -1, -10, -4, 6, 12, 8], 16, 63]
[8, 3, 55/48, 237930, [1, 1, 1, -1, 1, -2, -6, 4, 0, -2, 8, -2, -6, 4, 0, 6, -12, 6, 12, -8], 48, 55]
[8, 5, 39/80, 1902810, [1, 1, 1, -1, 4, 1, 1, 4, 0, -2, -8, 6, 1, 12, -8, 6, -4, -2, 4, -16], 80, 39]
[8, 7, 15/112, 2586990, [1, 1, 1, 1, 4, -2, -6, -4, 0, -2, 0, -2, -6, 4, 0, 6, -4, 14, 4, 8], 112, 15]
[9, 2, 77/36, 1070223, [-1, 1, -2, 1, 1, -2, 2, -4, 0, -2, -8, 6, 1, 4, 0, 6, 4, -2, 12, 0], 36, 77]
[9, 4, 65/72, 374010, [1, 1, 1, -1, 4, 1, -6, -4, 0, 6, 0, -10, -6, 12, 8, -10, -12, -10, 4, 0], 72, 65]
[9, 8, 17/144, 2085594, [1, 1, -2, -1, 4, -2, 1, 4, -1, -10, -8, -2, 2, 4, -8, -10, -12, -2, -4, 0], 144, 17]
[10, 1, 99/20, 1551165, [-1, 1, 1, -1, 1, -2, 1, 4, 0, -2, 0, -10, 2, 12, 8, -2, 4, 6, -12, 0], 20, 99]
[10, 3, 91/60, 6389565, [-1, 1, 1, 1, 4, 1, -6, 4, 0, 6, -1, 6, 2, 4, 0, -10, -4, -2, 4, -8], 60, 91]
[10, 7, 51/140, 30343215, [-1, 1, 1, 1, 4, -2, 1, -4, 0, -2, 0, 6, -6, 4, 8, 6, -12, -2, 4, 0], 140, 51]
[10, 9, 19/180, 9131115, [-1, 1, 1, -1, 4, -2, -6, 1, -1, -2, 8, 6, -6, -4, 0, 6, 12, -2, 4, 8], 180, 19]
