[0;31m  ***   Warning: new stack size = 4000000000 (3814.697 Mbytes).[0m
================================================================
Extended rank-2 scan: q = 60/11, |a|,|b| <= 7
(a=6, b=2): is_sq=0, digits(num)=138
(a=6, b=3): is_sq=0, digits(num)=144
(a=6, b=4): is_sq=0, digits(num)=164
(a=6, b=5): is_sq=0, digits(num)=187
(a=6, b=6): is_sq=0, digits(num)=224
(a=6, b=7): is_sq=0, digits(num)=265
(a=7, b=-7): is_sq=0, digits(num)=518
(a=7, b=-6): is_sq=0, digits(num)=445
(a=7, b=-5): is_sq=0, digits(num)=382
(a=7, b=-4): is_sq=0, digits(num)=327
(a=7, b=-3): is_sq=0, digits(num)=282
(a=7, b=-2): is_sq=0, digits(num)=244
(a=7, b=-1): is_sq=0, digits(num)=217
(a=7, b=0): is_sq=0, digits(num)=197
(a=7, b=1): is_sq=0, digits(num)=187
(a=7, b=2): is_sq=0, digits(num)=183
(a=7, b=3): is_sq=0, digits(num)=190
(a=7, b=4): is_sq=0, digits(num)=204
(a=7, b=5): is_sq=0, digits(num)=229
(a=7, b=6): is_sq=0, digits(num)=259
(a=7, b=7): is_sq=0, digits(num)=302

================================================================
Summary:
  Box size N_BOX = 7
  Total (a,b) checked = 224 (excludes (0,0))
  Identities (R = O) = 0
  Poles (T = +/- q)  = 0
  Squares found      = 0
================================================================
