Sanity: comparing naive vs smart at p=3
naive: 25
smart: 25

p  | #V'_aff | #V'_proj | tr(Frob|H^2)
---+---------+----------+--------------
3  | 25      | 12       | 2
5  | 145      | 36       | 10
7  | 553      | 92       | 42
11  | 1081      | 108       | -14
13  | 2353      | 196       | 26
17  | 6849      | 428       | 138
19  | 7129      | 396       | 34
23  | 14697      | 668       | 138
