# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
73 20 4929/2920 8105464426710 CLOSED 36 7.7855623507738699036906211951617403756 9874.6690824377271559382826179565913340 0 2
73 38 3885/5548 84529746756105 CLOSED 25 16.515166863309042317194540630865478637 10203.766687243713794126843069718752655 0 2
73 62 1485/9052 29772082391205 CLOSED 57 3.2349952539736727217300357863490463943 10491.052029185559112087673466209697836 0 2
74 13 5307/1924 62444547565491 CLOSED 46 4.9002606528613579085804486191017550097 10137.955590251247621376271350981119804 0 2
74 27 4747/3996 3459733333581 CLOSED 25 16.079195931569000143953416779862088315 9759.4357579219222200044429625159416571 0 2
74 55 2451/8140 300525014389215 CLOSED 47 4.8633930863347979540034554134937641736 10637.291578097181240671253721775541134 0 2
75 8 5561/1200 702705143490 CLOSED 37 7.2517624166407869549398040776952765410 9726.6469032228362260225608610974626844 0 2
75 26 4949/3900 1279745786865 CLOSED 48 4.2560205710456606232993310496143621757 9693.3209089739055404473543814184870629 0 2
75 44 3689/6600 36461788516230 CLOSED 50 4.1920246690370531007715123740633298969 10258.588536229477031233230918228078868 0 2
75 46 3509/6900 3884602420545 CLOSED 40 6.4448999027300756260190001153995938721 10070.225528214011732151657231598855069 0 2
75 68 1001/10200 52601928869490 CLOSED 48 4.7555028404841936985387972303113339414 10643.491789970138837371784948538259307 0 2
75 74 149/11100 10187015038305 CLOSED 35 8.6530625039839625985623782868167720721 10546.973808816388272538319775001000431 0 2
76 21 5335/3192 77795727986130 CLOSED 35 8.7063186114365164885773797962438946470 10164.146094528811903663333406892507942 0 2
76 33 4687/5016 18762660457926 CLOSED 44 5.2116124574955227532182539310210097488 9972.5994523408296473011141270003960766 0 2
77 2 5925/308 3194556887445 CLOSED 46 4.8795866356202662678865854094328239662 9928.7957232790854197579498397922259679 0 2
77 4 5913/616 1166383795038 CLOSED 34 8.7780131008359132969509886901815785185 9826.4198071527929295184853774803825612 0 2
77 16 5673/2464 22812219277386 CLOSED 49 4.2503538730716347584072029422645672434 10090.610430015924796838512050490730330 0 2
77 68 1305/10472 122947812341970 CLOSED 49 4.5369807961395425163401178985171873382 10749.446355207974027940834621628051467 0 2
77 72 745/11088 42124973192610 CLOSED 39 7.3384607727793823165998174282605529476 10688.061163966113659092716441429913786 0 2
78 11 5963/1716 83427461668551 CLOSED 48 4.5198079586460110404737447893291959677 10260.163056067978476566071865528717346 0 2
78 17 5795/2652 102003211140285 CLOSED 43 5.6797332829502940566664151485878639767 10257.403145667559551400399501541921220 0 2
78 47 3875/7332 11007353514885 CLOSED 35 8.5263165512635055820260451114097054121 10222.961353840936922487981061840766266 0 2
78 67 1595/10452 444698487298065 CLOSED 42 6.3420790841204586005540660820177514478 10876.480662494001800254503540272746036 0 2
78 73 755/11388 5663959609035 CLOSED 46 5.0711081544904632510097095333335060281 10508.766792830476615923863309104871498 0 2
79 18 5917/2844 37754276825937 CLOSED 30 11.505146475271653323592978750070658967 10174.679862002222629867772106567004475 0 2
80 21 5959/3360 30308767162590 CLOSED 40 6.5951204241540214063129799416619949027 10158.372181786742454115727277890631852 0 2
80 27 5671/4320 2296387689330 CLOSED 41 5.8817408906290639335604064772442093325 9860.7324418481624892298656029661543888 0 2
80 51 3799/8160 14435185932930 CLOSED 33 9.8330769165191767590166230684691297268 10335.668539332747918445631493151784288 0 2
80 57 3151/9120 131554222995930 CLOSED 45 5.4367661391220454224935978809185741047 10645.624088927808468981567344106110941 0 2
80 67 1911/10720 20351751673890 CLOSED 52 3.9994312999178340484315229622193181769 10588.311957845208625300604519449576263 0 2
80 73 1071/11680 342272925330 CLOSED 52 3.9019159603260008426141566453752387480 10248.394033409299800492382454753017384 0 2
81 34 5405/5508 309846970545 CLOSED 43 5.3440922876364859514426210462432511743 9637.0999247928723736465549694490651578 0 2
81 46 4445/7452 10972150240695 CLOSED 40 6.6031242573752186412050852984547847941 10235.628323578215202228803065464586214 0 2
82 1 6723/164 461159243097 CLOSED 40 6.3059145936396692506751806272851392917 9836.3327349759742667536975695928594201 0 2
82 21 6283/3444 149387589490839 CLOSED 33 9.6885136969075045204069961248715927964 10360.238813539666550020121417482541851 0 2
82 25 6099/4100 25490765651295 CLOSED 38 7.2057196902079306732359267280079893367 10159.637818955743330225296835214222099 0 2
82 47 4515/7708 339559745655795 CLOSED 47 5.0038300185069816473136007686882842992 10605.878326503155304691312747491041494 0 2
82 55 3699/9020 62724122502195 CLOSED 60 3.0261050994876691688499894869740256859 10562.736412293422184716469691015686059 0 2
82 61 3003/10004 683921476759521 CLOSED 42 6.1747957286813484779300945266111576642 10884.478656288196506092734711803122578 0 2
82 65 2499/10660 102171952841595 CLOSED 32 10.799521307404269291290300908945072000 10745.170790375765170670233950811001060 0 2
83 16 6633/2656 13558804052178 CLOSED 48 4.4227052863371929918441388628038426360 10163.655695401364886067200134106366568 0 2
83 50 4389/8300 90391770064365 CLOSED 36 8.5369249434223980498256414703089064319 10532.726069034887531799054863602553534 0 2
84 11 6935/1848 143150563310370 CLOSED 33 9.7776213800724511031633785502341145863 10434.960874456200893927513176938004497 0 2
84 13 6887/2184 160417916475726 CLOSED 34 9.4848385932001366682446419389282828430 10440.793034820718135189254140206010151 0 2
84 25 6431/4200 32031073408110 CLOSED 40 6.5251998540785002701986454658394813792 10224.881020065237474603488696390948502 0 2
84 47 4847/7896 371748543401046 CLOSED 23 20.643692321618422014580908227619168467 10634.213143194587690770611835184805418 0 2
84 53 4247/8904 578991831509154 CLOSED 35 9.2675009511762350513048906997296922381 10774.635662911614947761524681368352234 0 2
85 6 7189/1020 92835416450595 CLOSED 45 5.2906968181353165218329393600240495874 10420.430819757117476712663166080271465 0 2
85 8 7161/1360 60174989875770 CLOSED 50 4.2150132888129587502446099283196932474 10373.951725140674013411349092006885841 0 2
85 16 6969/2720 48773629273530 CLOSED 49 4.4102493817453823727526609090880787638 10331.202707049674695329920325125735269 0 2
85 18 6901/3060 67328580010755 CLOSED 34 9.3183128012750160153545103459133220797 10355.597878923491309250962768020216070 0 2
85 24 6649/4080 93465182562990 CLOSED 43 5.6385598935522613587742287192227665795 10358.638407508709579277613367461674011 0 2
85 26 6549/4420 168997377921645 CLOSED 43 5.8157380791642918868529676479940863686 10405.744547721914907211725817485954453 0 2
85 36 5929/6120 90374367930 CLOSED 49 4.1595715404209420933670371244620731040 9598.1765527592935734748163495735871796 0 2
85 44 5289/7480 2448702330690 CLOSED 48 4.4328417128161869862688643476975102243 10088.648390697060273474204146765659756 0 2
85 62 3381/10540 126838339017495 CLOSED 33 10.187605493182547735522171564607118227 10757.739704717561420560515089029647735 0 2
85 66 2869/11220 946851925428255 CLOSED 42 6.3003941720065681882414049112541016673 11008.778926775816605142254709502485738 0 2
85 72 2041/12240 151610539006290 CLOSED 49 4.5710541476935945858706450815550627655 10895.205255376220413887305637583916188 0 2
85 78 1141/13260 660128697431385 CLOSED 45 5.5362153794151832245573260508411604903 11106.351403796673655411516633454617621 0 2
86 3 7387/516 51745160672499 CLOSED 25 17.247157400734218713198349424015313581 10383.716785035636325684359588566053640 0 2
86 9 7315/1548 48231941207835 CLOSED 46 4.9174401027805585339211182934541899957 10368.850110580350485065056829737882407 0 2
86 11 7275/1892 33960630549615 CLOSED 44 5.5844134064096053647713839048657173117 10329.381578093780484607952392888210039 0 2
86 31 6435/5332 905138118885 CLOSED 64 2.4308842926659113428086094333068864944 9868.7410346795765895095460491845538718 0 2
86 35 6171/6020 1554231260505 CLOSED 54 3.4913028624897599679423825191070992451 9889.2931599654277862183110042251080891 0 2
86 67 2907/11524 347151906734703 CLOSED 32 10.802282166317554181018118690893911087 10929.828034128649210079520040175113906 0 2
86 71 2355/12212 1032363384029985 CLOSED 23 22.344263894296742635945970186474348682 11085.202194713793037973404597536008609 0 2
86 85 171/14620 44524347650265 CLOSED 48 4.7905327180503123659763461739031288550 10914.822316011356626777312034865959298 0 2
87 2 7565/348 37585995376755 CLOSED 44 5.5813702310021314224358739569485491362 10370.795364333815694322295497051475635 0 2
87 16 7313/2784 58188813078606 CLOSED 56 3.3284605105852931671942419090502730276 10387.398515921362466743864793949455810 0 2
87 28 6785/4872 184288785003330 CLOSED 34 9.1413005150641979217338236904762619113 10442.728170505065321615463457231451766 0 2
87 46 5453/8004 374577164126571 CLOSED 31 11.587172818589139893188478560610366048 10645.839250902214000486558010150203470 0 2
87 56 4433/9744 406542225607518 CLOSED 52 4.0793545633336272475145047668174869090 10811.396483515235263763771948585576626 0 2
87 82 845/14268 47034522407145 CLOSED 45 5.5630783303930509193033598531304832734 10900.809933914254251438926356656643526 0 2
88 37 6375/6512 52352682690 CLOSED 49 4.1264524738502118766592666475593776722 9593.2484279681179024391021572738972011 0 2
88 41 6063/7216 11961640449066 CLOSED 41 6.2132057022920720540730914891703658959 10218.517451027810427499186646767862184 0 2
