[0;31m  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).[0m
=== Strategy II rank survey (5 V_q factors per fiber) ===

--- rank-4 E_PCP fibers (12) ---
R3 (737,574) | Eef=[1, 3] Eeg=[1, 3] Efg=[1, 1] EHp=[2, 2] X-=[0, 0] | sumJ=[5,9] | t=0.44600000000000000000000000000000000000s
R3 (778,531) | Eef=[1, 3] Eeg=[1, 1] Efg=[1, 3] EHp=[2, 2] X-=[1, 1] | sumJ=[6,10] | t=0.59300000000000000000000000000000000000s
R3 (816,497) | Eef=[3, 3] Eeg=[3, 3] Efg=[1, 3] EHp=[2, 2] X-=[1, 1] | sumJ=[10,12] | t=0.60600000000000000000000000000000000000s
R3 (834,361) | Eef=[1, 3] Eeg=[1, 1] Efg=[0, 0] EHp=[1, 3] X-=[0, 0] | sumJ=[3,7] | t=0.49200000000000000000000000000000000000s
R3 (851,334) | Eef=[1, 3] Eeg=[0, 0] Efg=[1, 1] EHp=[0, 2] X-=[1, 1] | sumJ=[3,7] | t=0.52200000000000000000000000000000000000s
R3 (869,442) | Eef=[1, 3] Eeg=[1, 1] Efg=[0, 0] EHp=[1, 1] X-=[1, 1] | sumJ=[4,6] | t=0.52100000000000000000000000000000000000s
R3 (892,551) | Eef=[1, 3] Eeg=[0, 0] Efg=[1, 1] EHp=[2, 2] X-=[0, 2] | sumJ=[4,8] | t=0.54600000000000000000000000000000000000s
R3 (899,158) | Eef=[3, 3] Eeg=[0, 4] Efg=[1, 1] EHp=[2, 2] X-=[1, 1] | sumJ=[7,11] | t=0.50600000000000000000000000000000000000s
R3 (928,623) | Eef=[3, 3] Eeg=[0, 0] Efg=[2, 2] EHp=[2, 2] X-=[0, 2] | sumJ=[7,9] | t=0.56800000000000000000000000000000000000s
R3 (943,206) | Eef=[3, 3] Eeg=[0, 2] Efg=[1, 1] EHp=[3, 3] X-=[0, 0] | sumJ=[7,9] | t=0.61100000000000000000000000000000000000s
R3 (974,259) | Eef=[1, 3] Eeg=[0, 0] Efg=[1, 3] EHp=[2, 2] X-=[1, 1] | sumJ=[5,9] | t=0.43500000000000000000000000000000000000s
R3 (988,251) | Eef=[1, 3] Eeg=[1, 1] Efg=[0, 0] EHp=[2, 2] X-=[1, 3] | sumJ=[5,9] | t=0.79900000000000000000000000000000000000s
R3 (988,321) | Eef=[1, 3] Eeg=[1, 1] Efg=[1, 1] EHp=[1, 1] X-=[0, 0] | sumJ=[4,6] | t=0.57000000000000000000000000000000000000s

DONE. Results in survey_results.txt
