[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
#### OQ1 control: generic rank-1 fibers ####
GEN_RESULT (17,16) q=33/544 logN=19.6170799427944456207979924624 logHj=75.5763718249172767239745569533 hhat=3.53802191381624275114918555209 R1=0.0468138629625214262163590105232 R2=0.180354156894578718183192355058 F3sq=0
GEN_RESULT (18,1) q=323/36 logN=18.4190692161386662136740162888 logHj=69.2947964747293528622686128477 hhat=8.54052082268019741009809627471 R1=0.123249093108957780864541098003 R2=0.463678197983916024501271723029 F3sq=0
GEN_RESULT (18,13) q=155/468 logN=20.8877364723764994080805899296 logHj=73.4733311349978218420534965683 hhat=7.04333195248814769696139582768 R1=0.0958624284986742829605857005780 R2=0.337199387870618493650582413825 F3sq=0
GEN_RESULT (19,2) q=357/76 logN=20.5312671582823151485860829288 logHj=70.4001391877547334528775852742 hhat=6.62508052642372061115784545053 R1=0.0941060714206098407743738079006 R2=0.322682495695408770173067369450 F3sq=0
GEN_RESULT (19,4) q=345/152 logN=20.9524107917592598045187552846 logHj=69.6121901279215012940563124948 hhat=9.09986029838678381424584275677 R1=0.130722223818336999466710174813 R2=0.434310895716393030529517202252 F3sq=0
GEN_RESULT (19,10) q=261/380 logN=20.2619379602873239783765979337 logHj=70.4221988990709078969622750666 hhat=4.35676486239131963642829739084 R1=0.0618663564969823624705555786234 R2=0.215022120338657804545642910311 F3sq=0
GEN_RESULT (19,12) q=217/456 logN=22.1043046835111934833980966169 logHj=72.8921602318560337725358764830 hhat=8.90937079558580361441158803229 R1=0.122226735594703154337301577327 R2=0.403060441083758189504956363195 F3sq=0
GEN_RESULT (20,3) q=391/120 logN=21.2083933527309264807638558154 logHj=71.3569510610987522618825466835 hhat=5.29200958691475565604758374911 R1=0.0741624958496828107888875623700 R2=0.249524303840456784393595473876 F3sq=0
GEN_RESULT (20,19) q=39/760 logN=22.1745858013413563144201919112 logHj=79.5919317066573366629073790310 hhat=7.76720758775714567997314525932 R1=0.0975878763237438843699758341730 R2=0.350275205018138459295922359216 F3sq=0
GEN_RESULT (21,2) q=437/84 logN=21.2466737315056768328009940678 logHj=72.8505031390937927345394566578 hhat=12.8164709562136682240706832114 R1=0.175928379406565287308592385204 R2=0.603222467581301260449508922214 F3sq=0
GEN_RESULT (21,8) q=377/336 logN=19.9529682928499828097572701051 logHj=70.6518029687711909986939259476 hhat=3.42723560715893358968474884437 R1=0.0485088202019954999683668914029 R2=0.171765702067850291335549791084 F3sq=0
GEN_RESULT (21,10) q=341/420 logN=21.4899240377697474916207895054 logHj=71.7197004508103782627890644490 hhat=7.59223646980945774284608981960 R1=0.105859846347471341459902998026 R2=0.353292848149005835370223374569 F3sq=0
GEN_RESULT (21,16) q=185/672 logN=21.8997274850420627050186378456 logHj=77.9052433590509745667501205713 hhat=6.69900471691043387832165805306 R1=0.0859891379330650454591349183548 R2=0.305894432772553157230718965008 F3sq=0
