# m n cond status hhat cS w2 N0_rig
42 23 1316724540495 OK 14.686519877062245313768310352870850718524811751301 16.404681778535380505439237068661973620853324353198 4 4
42 25 12008414355 OK 7.7038875410934219857618370979819043423641874655212 16.557130547408523717679276527865980550478255377463 8 5
42 31 3207616067271 OK 11.662236428705031418473698505983452656122030273762 16.876232633487861566794216460662587436419519301425 4 4
43 4 510991931814 OK 26.209625462631826032679019285589360648623258330118 16.033034012014207815991691058514501043336567726538 4 3
43 8 416454362310 OK 11.403922050192747992461811249530332212323429212126 16.173862588904652488562251807906335990021145196621 8 4
43 10 872175955035 OK 15.251060946664025710935199171789711079847761590259 16.178142459828406592981966110933838109144747546927 4 4
43 12 810277819890 OK 5.2871662972506426627715588825304181430938289133859 16.151124974719288940985668015736327892244450672737 4 6
43 18 2780865255 OK 3.8301942114678882762853740794921098453010571664001 15.667855147382127707381860242753646447274741891274 8 7
43 22 1108210258155 OK 8.0845790733698795028733536033138549324456432051235 16.365592758175977937248369709824238720400770860697 4 5
43 24 866923548078 OK 9.0091089949506534274470659058370756987186984220143 16.534659024289304979779945241318401440821714858098 8 5
43 38 128871116745 OK 11.194907001696860426871336714080672947924797681510 17.059385581445027045986404087194182183029020781964 16 4
43 40 1260385104930 OK 12.310690515630302305822348248691432317746216676720 16.986936858093249168427107939508786936345806066855 8 4
43 42 1000832929845 OK 17.213492655004511910774946322833132444587737406257 16.711937778275268843011358765615102825328406853013 4 4
44 1 3118862670 OK 8.4622260677828534616529529956994137320281446774226 15.682611588376146049835542063353738452676938733081 8 5
44 3 463404532206 OK 7.5528527315713707851412359321764385660013602141501 16.034967321373206520667196163271429257746482092011 4 5
44 5 103853379630 OK 9.7184986389506010919491677661603913308136354518078 16.177196332914506135376373801318115529880010041303 8 5
44 13 916500771186 OK 5.1982442931282597983576303519106012011874275068142 16.226784791042996281007989031250796979310376418334 4 6
44 15 669154870230 OK 6.1179529805208988580207002750292227075224421525009 16.161470268807280202509238723659570220230800373328 4 6
44 17 32482094106 OK 19.484951681873389695757023329187284201393643678077 16.029783586931400610924585725932217748228560545181 12 3
44 19 13823550510 OK 2.2954228036525446004324753086057765166762310178919 16.011328948782875491218747437455287866711938318083 8 9
44 21 815068764510 OK 11.495979627323580558934331359195287238447748820038 16.309785599083726049882762013609269954424424264492 4 4
44 23 1507129242234 OK 5.3221881438144730569315569662250030040805048601700 16.500522014260880441807012412893143021748912788256 4 6
44 25 450119644590 OK 4.4763238318691840177811721946123394699811141764672 16.659662077318392140618497693645136259874624073568 8 7
44 37 175727123418 OK 7.1050082078410412452415852380445753105216200703057 17.159206994776978072328979026718408153746352889794 16 5
44 39 4132690491930 OK 18.097979630589239174913945154630755166286253823071 17.149430336539962125184940704366765297809361731265 4 3
44 41 2979236496390 OK 23.101918624716624199508504297970785698956560570316 17.074445630722475984530410563380989590816525591164 4 3
44 43 168261583182 OK 11.337023476859235555551803639496745110771742494715 16.797233913683441718308982902021506252428512398277 4 4
45 2 122837622915 OK 5.9881246538769778852074219031973558907718020869082 15.991185831003076689257638478436878988925946222444 8 6
45 16 56029236270 OK 4.8254923042626010060135131849788777421619880012101 16.221321169724854941952949288907548816910019867667 12 6
45 26 961676205945 OK 10.166098697071624994150071385581452458746148100896 16.780085995636926731356986188153607370856840972985 8 5
45 44 65762278890 OK 7.6765024769947848434154633847736305931948949325724 16.880590410152711357110222419877234044170255937592 8 5
46 3 90620816937 OK 7.0385945406196293352571553366995147767070508947234 16.199287506634743475848389855189172221767439633429 8 5
46 5 1000498156665 OK 5.6100606714431743920004874590529482727231369450400 16.343940257386176956213366259694265888378351547357 4 6
46 13 1374109866129 OK 4.2836363017516613688134574822105686322047013445297 16.417664166189286960639824944137051390546016862689 4 7
46 15 1090465846995 OK 28.063211547112905809572594833272631461711656538505 16.364320478931226402166650747550068806570068576723 4 3
46 19 2089557015 OK 6.6790471368435617242499806765994360861738610482557 15.709529811159125541283742729444500999734713145433 12 5
46 21 149993073195 OK 26.209258629078729562882012158989047116924842921179 16.379156666061188052482387632046698811810444360635 8 3
46 37 2337077934093 OK 10.825928163941353926678811970958278395812290635728 17.317832699458443353833555102877628230142784405866 8 4
46 41 5758769135595 OK 5.1521769548315386142261763625699802809667350151107 17.323105825740130035749880707700480741215810323494 4 6
46 43 4113744262761 OK 31.506002054871616423903804523298615514912910735646 17.243423471642622473814564315064354814718472740072 4 3
46 45 537837760005 OK 19.159157817932988460076380516073719101787708115549 16.962093544185365205221553653394926822924300602700 8 3
47 2 23819670735 OK 21.092507097738680708105372925334217079988509971124 16.151181862509737263760573374655441494625289045075 8 3
47 6 1349303604369 OK 30.660146837760814479919667616912958417823905778647 16.468202274001808518742959619379122861766700886405 4 3
47 10 1766511127815 OK 6.3077411948282252590468928363685564441945202985287 16.536239588516329477224372574841192398754261888138 4 5
47 14 1536689932701 OK 21.079774567032064683990324493587416236300909616516 16.487915356816229098689845992795926935966923770360 4 3
47 20 24743487930 OK 12.057212455014344594096104589679696717369941468934 16.191663862110251300949273864960168136179362025647 12 4
47 22 4735769115 OK 22.354533594146542404336064676847260617629520727738 16.528348836732138979702201098752167176545129241289 8 3
47 28 918296716470 OK 19.446879032759300388288201986605059630699920478475 17.008532649762309055218132589486840816392460006141 8 3
47 34 283739819727 OK 15.081795683686298411553030700566937586181259940923 17.302552257481673524318234114438700288606314491248 16 4
47 42 6758938646985 OK 10.409970233580540654660439759720269697382001080388 17.406935307823633892647264589143899720557390413195 4 4
47 46 1878793578291 OK 29.054787883289918280508371599766087354709245183698 17.041823959634094162921232481250224580217080170241 4 3
48 1 10451526582 OK 21.950513736990097110023259775992184886919765625529 16.001928582069644153975436437266430156677348418217 12 3
48 7 438833197110 OK 11.601493211718462362234721187516666723365097952595 16.579589207023487342403451668083073717443085319167 12 4
48 11 75133651362 OK 5.4966872070639072527568205424058519499316437303635 16.618951189199675237168290371349392961226731058360 12 6
48 19 99293366046 OK 29.723288033221093380100575339527094165817693957737 16.318063931476373507427799772688765688440352993467 12 3
48 29 1428165879294 OK 5.8896807286388717372545958157966106371735012700607 17.117129794326284888217179329891922119544758222804 12 6
48 31 1761807058746 OK 4.6699892488225881957139449972790647210470369577566 17.227179217237862199663989301514647138524499447092 12 7
48 35 2294305095810 OK 18.249186029252294148528159106913318659634550089590 17.396277739673411820654181221650105260999149290020 12 4
48 37 2437386366030 OK 11.829757108539886046811493201335595781161543215024 17.454914986442777256320134585527941621353241902744 12 4
48 47 545152898010 OK 10.318605260865265402403700768685904417208398850883 17.119857147686812573665831974080490511682482110324 12 5
49 10 349054877535 OK 10.985976628313912073459095080631273033093000880752 16.702061757443087513066634033516142098619160904289 8 4
49 12 351787453962 OK 13.770660946133969353249401161332178614765763857712 16.696315030151157666816538576209591153099296697093 8 4
49 26 110406137205 OK 11.771603952379238960276297568402264678363269378945 16.960498216274349477830414952924321461452758256743 8 4
49 30 1007190355395 OK 31.821154551450696680815498697580108389734580436590 17.222309049483256536161771951768673251246450935194 8 3
49 36 520987475190 OK 10.318010598005777178483523019926997265677729085011 17.487566229499197447650102665254752534141313954485 8 5
49 40 275206493310 OK 13.575330242500308473382385309732899821595238713896 17.578971924818230466648304268237138722105216049799 8 4
49 44 1315985491590 OK 8.3640004902027990747751931809621946267857873035504 17.569024549018883402857479231017100847149325584064 8 5
49 48 90109575318 OK 43.762361293740105368417718718794680135386394965181 17.196263876779070969452492878847514143125711447577 12 2
50 9 26133291555 OK 8.9772881543948951664115861858955200488141421150355 16.773989433291691596181819669783315770385150509411 8 5
50 17 375592044135 OK 13.268921185282378250223535439734731564974046777018 16.674473195334951623058514145902608686362512270487 8 4
50 19 196158053805 OK 6.0435346492973977689656081767211972403032404895211 16.569765850982379672855198898009357727931355662836 8 6
50 21 36865355205 OK 29.079994074750606360803207658472575836889448995491 16.319135681975226582229794721838618984326496001517 8 3
50 23 35388929415 OK 16.823325604223417938654590936633517865169596436747 16.732601818743505585922410807302422449964628461220 12 4
50 29 1360992594045 OK 10.654171263124205400140214541933588155566173077110 17.208456011180716394441233282932936341476015868216 8 4
50 31 63978466965 OK 8.8453874651516848581689164270976602923565489978204 17.324289177742741465494213868950558627862642030841 16 5
51 2 126823546353 OK 36.762129398782627224271841611789202564433795989138 16.451580844961553086067212638659580776973240182326 8 3
51 4 1718010702870 OK 6.8456048447258707499670163202893663427978309544459 16.667128076107449329580349309635288571214981887901 4 5
51 8 1493258731062 OK 32.964581070849676025220093789489975684365904883653 16.834755775025778386439836109280971029509775579622 8 3
51 10 3325637860755 OK 16.392419537031022604998319282973409032594205547966 16.860214708500566237593078144211091262504657066061 4 4
51 14 3215264309985 OK 9.1709958122132735270761738232870686831527565503045 16.837544974942202430491296953935165987523833442727 4 5
51 16 678247403190 OK 5.5417735574200157045049363016738028825375626005980 16.794953228030609555946914047595051980510689670478 12 6
51 22 93967027077 OK 18.677562165710623207099174644249343092002494005657 16.596881156476179639117355141251520860055769244013 4 3
51 26 849355652145 OK 4.3757569808798914576669709959374840886565883844659 17.040850640194117569746072105861785955021254898526 8 7
51 32 1313657139018 OK 4.7610667039579805540862745805280205511676244804820 17.423268197660160106692835717582081948916402746183 16 7
51 40 7986622133490 OK 9.4960415016274489238943135384092380811486949521034 17.712356818659789097340564102081046892768456131033 8 5
51 44 14698700563470 OK 32.953276731045174141988790943133589381307362793687 17.750662919819140237099045489845845362283410886781 4 3
51 46 12390545525295 OK 27.054063312361899414423622327361411553582708522484 17.724216095093234548421613112153160057846417817814 4 3
51 50 669624823245 OK 44.291501233641643643739811906001700216529820254183 17.344459695301381366560023534512987189828347250203 8 2
52 5 2405375861070 OK 6.1136698873861217619430401075204506268102474771467 16.802231202284939242099453884292566387671051864150 4 6
