[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
=== Primitive Saunderson fibers (1<=n<m<=20, gcd=1, m+n odd) ===

m n | a b | bad_primes | sf(P) sf(Q) | ab bc ac | All3
18 11 | 203 396 | [2, 3, 7, 11, 29, 193, 599]~ | 599 -193 | FFF | no
18 13 | 155 468 | [2, 3, 5, 7, 13, 31, 89, 313]~ | 623 -313 | FFF | no
18 17 | 35 612 | [2, 3, 5, 7, 17, 577, 647]~ | 647 -577 | FPF | no
19 2 | 357 76 | [2, 3, 7, 17, 19, 281, 433]~ | 433 281 | FFF | no
19 4 | 345 152 | [2, 3, 5, 7, 19, 23, 71, 193]~ | 497 193 | FFF | no
19 6 | 325 228 | [2, 3, 5, 7, 13, 19, 79, 97]~ | 553 97 | FFF | no
19 8 | 297 304 | [2, 3, 7, 11, 19, 601]~ | 601 -7 | FFF | no
19 10 | 261 380 | [2, 3, 5, 7, 17, 19, 29, 641]~ | 641 -119 | FFF | no
19 12 | 217 456 | [2, 3, 7, 19, 31, 239, 673]~ | 673 -239 | FFF | no
19 14 | 165 532 | [2, 3, 5, 7, 11, 17, 19, 41, 367]~ | 697 -367 | FFF | no
19 16 | 105 608 | [2, 3, 5, 7, 19, 23, 31, 503]~ | 713 -503 | FFF | no
19 18 | 37 684 | [2, 3, 7, 19, 37, 103, 647]~ | 721 -647 | FFF | no
20 1 | 399 40 | [2, 3, 5, 7, 19, 359, 439]~ | 439 359 | FPF | no
20 3 | 391 120 | [2, 3, 5, 7, 17, 23, 73, 271]~ | 511 271 | FFF | no
20 7 | 351 280 | [2, 3, 5, 7, 13, 71, 631]~ | 631 71 | FFP | no
20 9 | 319 360 | [2, 3, 5, 7, 11, 29, 41, 97]~ | 679 -41 | FFF | no
20 11 | 279 440 | [2, 3, 5, 7, 11, 23, 31, 719]~ | 719 -161 | FFF | no
20 13 | 231 520 | [2, 3, 5, 7, 11, 13, 17, 751]~ | 751 -1 | FPF | no
20 17 | 111 680 | [2, 3, 5, 7, 17, 37, 113, 569]~ | 791 -569 | FPF | no
20 19 | 39 760 | [2, 3, 5, 7, 13, 17, 19, 47, 103]~ | 799 -721 | FFF | no

Total primitive fibers checked: 86
Passed all 3 Hilbert filters: 5

Survivors:
[5, 2, 21, 20, 41, 1, 41, 1, [2, 3, 5, 7, 41]~]
[9, 2, 77, 36, 113, 41, 113, 41, [2, 3, 7, 11, 41, 113]~]
[13, 4, 153, 104, 257, 49, 257, 1, [2, 3, 7, 13, 17, 257]~]
[17, 4, 273, 136, 409, 137, 409, 137, [2, 3, 7, 13, 17, 137, 409]~]
[17, 6, 253, 204, 457, 49, 457, 1, [2, 3, 7, 11, 17, 23, 457]~]
